FID,Shape,class,class_code,comm_code,comm_struc,name,sector,srg,Area_sq_m
48,Polygon,Residual Sub Area,4,01B,UNDEVELOPED,01B,NORTHWEST,N/A,1994290
288,Polygon,Residual Sub Area,4,01C,OTHER,01C,WEST,N/A,854338
184,Polygon,Residual Sub Area,4,01F,2000s,01F,NORTHWEST,BUILT-OUT,884174
178,Polygon,Residual Sub Area,4,01H,UNDEVELOPED,01H,WEST,N/A,2532020
261,Polygon,Residual Sub Area,4,01I,UNDEVELOPED,01I,WEST,N/A,141934
282,Polygon,Residual Sub Area,4,01K,UNDEVELOPED,01K,NORTHWEST,N/A,5289170
91,Polygon,Residual Sub Area,4,02B,UNDEVELOPED,02B,NORTH,N/A,2665280
237,Polygon,Residual Sub Area,4,02C,UNDEVELOPED,02C,NORTH,N/A,1505940
266,Polygon,Residual Sub Area,4,02E,OTHER,02E,NORTHWEST,N/A,2635820
118,Polygon,Residual Sub Area,4,02F,OTHER,02F,NORTHWEST,N/A,3279910
43,Polygon,Residual Sub Area,4,02K,UNDEVELOPED,02K,NORTH,N/A,6807540
162,Polygon,Residual Sub Area,4,02L,OTHER,02L,NORTH,N/A,10112500
143,Polygon,Residual Sub Area,4,03D,UNDEVELOPED,03D,NORTH,N/A,726463
269,Polygon,Residual Sub Area,4,03W,OTHER,03W,NORTH,N/A,14822600
284,Polygon,Residual Sub Area,4,05D,OTHER,05D,NORTHEAST,N/A,1451960
283,Polygon,Residual Sub Area,4,05E,UNDEVELOPED,05E,NORTHEAST,N/A,3134350
280,Polygon,Residual Sub Area,4,05F,UNDEVELOPED,05F,NORTHEAST,N/A,1080990
297,Polygon,Residual Sub Area,4,05G,OTHER,05G,NORTHEAST,N/A,529752
154,Polygon,Residual Sub Area,4,06A,UNDEVELOPED,06A,WEST,N/A,2835440
275,Polygon,Residual Sub Area,4,06B,OTHER,06B,WEST,N/A,495363
287,Polygon,Residual Sub Area,4,06C,UNDEVELOPED,06C,WEST,N/A,457915
196,Polygon,Residual Sub Area,4,09D,OTHER,09D,CENTRE,N/A,403635
183,Polygon,Residual Sub Area,4,09H,OTHER,09H,EAST,N/A,562103
94,Polygon,Residual Sub Area,4,09K,UNDEVELOPED,09K,EAST,N/A,2183100
279,Polygon,Residual Sub Area,4,09O,OTHER,09O,EAST,N/A,8150040
276,Polygon,Residual Sub Area,4,09P,UNDEVELOPED,09P,EAST,N/A,6512580
285,Polygon,Residual Sub Area,4,09Q,OTHER,09Q,EAST,N/A,9122780
281,Polygon,Residual Sub Area,4,10D,OTHER,10D,NORTHEAST,N/A,831660
277,Polygon,Residual Sub Area,4,10E,OTHER,10E,NORTHEAST,N/A,1878090
2,Polygon,Residual Sub Area,4,12A,OTHER,12A,SOUTHEAST,N/A,11637200
21,Polygon,Residual Sub Area,4,12B,UNDEVELOPED,12B,SOUTHEAST,N/A,8061880
295,Polygon,Residual Sub Area,4,12C,OTHER,12C,SOUTHEAST,N/A,1653210
303,Polygon,Residual Sub Area,4,12I,UNDEVELOPED,12I,SOUTHEAST,N/A,6005090
49,Polygon,Residual Sub Area,4,12J,UNDEVELOPED,12J,SOUTHEAST,N/A,17277800
278,Polygon,Residual Sub Area,4,12K,UNDEVELOPED,12K,SOUTHEAST,N/A,793640
301,Polygon,Residual Sub Area,4,12L,OTHER,12L,SOUTHEAST,N/A,2579300
252,Polygon,Residual Sub Area,4,13A,UNDEVELOPED,13A,SOUTH,N/A,2654540
165,Polygon,Residual Sub Area,4,13B,UNDEVELOPED,13B,SOUTH,N/A,220010
173,Polygon,Residual Sub Area,4,13C,UNDEVELOPED,13C,SOUTH,N/A,2661360
74,Polygon,Residual Sub Area,4,13D,UNDEVELOPED,13D,SOUTH,N/A,3957400
47,Polygon,Residual Sub Area,4,13E,UNDEVELOPED,13E,SOUTH,N/A,2689200
210,Polygon,Residual Sub Area,4,13F,UNDEVELOPED,13F,SOUTH,N/A,2679630
35,Polygon,Residual Sub Area,4,13G,UNDEVELOPED,13G,SOUTH,N/A,5311810
116,Polygon,Residual Sub Area,4,13H,UNDEVELOPED,13H,SOUTH,N/A,202273
95,Polygon,Residual Sub Area,4,13I,UNDEVELOPED,13I,SOUTH,N/A,78740.8
286,Polygon,Residual Sub Area,4,13J,UNDEVELOPED,13J,SOUTH,N/A,1332450
294,Polygon,Residual Sub Area,4,13L,UNDEVELOPED,13L,SOUTH,N/A,699503
304,Polygon,Residual Sub Area,4,13M,UNDEVELOPED,13M,SOUTH,N/A,2847430
200,Polygon,Residential,1,ABB,2000s,ABBEYDALE,NORTHEAST,BUILT-OUT,1677800
78,Polygon,Residential,1,ACA,1960s/1970s,ACADIA,SOUTH,BUILT-OUT,3906820
229,Polygon,Residential,1,ALB,1950s,ALBERT PARK/RADISSON HEIGHTS,EAST,BUILT-OUT,2506700
11,Polygon,Residential,1,ALT,INNER CITY,ALTADORE,CENTRE,BUILT-OUT,2134500
234,Polygon,Industrial,2,AYB,EMPLOYMENT,ALYTH/BONNYBROOK,CENTRE,N/A,3812100
290,Polygon,Residential,1,APP,2000s,APPLEWOOD PARK,EAST,BUILT-OUT,1569410
98,Polygon,Residential,1,ARB, ,ARBOUR LAKE,NORTHWEST,BUILT-OUT,4421770
93,Polygon,Residential,1,ASP,BUILDING OUT,ASPEN WOODS,WEST,DEVELOPING,3823410
202,Polygon,Residential,1,AUB,BUILDING OUT,AUBURN BAY,SOUTHEAST,DEVELOPING,4517520
246,Polygon,Industrial,2,ABP,EMPLOYMENT,AURORA BUSINESS PARK,NORTH,N/A,2400180
254,Polygon,Residential,1,BNF,1950s,BANFF TRAIL,CENTRE,BUILT-OUT,1451940
251,Polygon,Residential,1,BNK,INNER CITY,BANKVIEW,CENTRE,BUILT-OUT,686794
140,Polygon,Residential,1,BYV,1960s/1970s,BAYVIEW,SOUTH,BUILT-OUT,424059
52,Polygon,Residential,1,BED,1960s/1970s,BEDDINGTON HEIGHTS,NORTH,BUILT-OUT,3200200
187,Polygon,Residential,1,BEL,1960s/1970s,BEL-AIRE,CENTRE,BUILT-OUT,337087
292,Polygon,Residential,1,BLM,BUILDING OUT,BELMONT,SOUTH,DEVELOPING,2856500
257,Polygon,Residential,1,BLN,CENTRE CITY,BELTLINE,CENTRE,BUILT-OUT,2945180
289,Polygon,Residential,1,BVD,BUILDING OUT,BELVEDERE,EAST,BUILT-OUT,3666590
174,Polygon,Residential,1,BDO,1960s/1970s,BONAVISTA DOWNS,SOUTH,BUILT-OUT,537915
138,Polygon,Residential,1,BOW,1950s,BOWNESS,NORTHWEST,BUILT-OUT,5608950
208,Polygon,Residential,1,BRA,1960s/1970s,BRAESIDE,SOUTH,BUILT-OUT,1961250
207,Polygon,Residential,1,BRE,1960s/1970s,BRENTWOOD,NORTHWEST,BUILT-OUT,2891160
62,Polygon,Residential,1,BRD,INNER CITY,BRIDGELAND/RIVERSIDE,CENTRE,BUILT-OUT,3049960
72,Polygon,Residential,1,BRI,2000s,BRIDLEWOOD,SOUTH,BUILT-OUT,3237490
88,Polygon,Residential,1,BRT,1950s,BRITANNIA,CENTRE,BUILT-OUT,503276
147,Polygon,Industrial,2,BUR,EMPLOYMENT,BURNS INDUSTRIAL,CENTRE,N/A,2899520
253,Polygon,Industrial,2,CIA,OTHER,CALGARY INTERNATIONAL AIRPORT,NORTHEAST,N/A,20588800
