CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,location
Residential,1,YKV,YORKVILLE,SOUTH,DEVELOPING,BUILDING OUT,-114.076647581736,50.8704034468757,"(50.870403446876, -114.076647581736)"
Residential,1,WWO,WOLF WILLOW,SOUTH,DEVELOPING,BUILDING OUT,-114.008636787791,50.8707242991201,"(50.87072429912, -114.008636787791)"
Residential,1,WSP,WEST SPRINGS,WEST,DEVELOPING,BUILDING OUT,-114.206168318752,51.0597323984505,"(51.059732398451, -114.206168318752)"
Residential,1,WOO,WOODLANDS,SOUTH,BUILT-OUT,1980s/1990s,-114.106339454003,50.9428758824735,"(50.942875882474, -114.106339454003)"
Residential,1,WND,WINDSOR PARK,CENTRE,BUILT-OUT,1950s,-114.083549507337,51.0050404653601,"(51.00504046536, -114.083549507337)"
Residential,1,WLD,WILDWOOD,WEST,BUILT-OUT,1950s,-114.158521596925,51.058251224809,"(51.058251224809, -114.158521596925)"
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,BUILT-OUT,1950s,-114.041857226664,51.0753238479606,"(51.075323847961, -114.041857226664)"
Residential,1,WIL,WILLOW PARK,SOUTH,BUILT-OUT,1960s/1970s,-114.05620363151,50.9566229284871,"(50.956622928487, -114.05620363151)"
Residential,1,WHL,WEST HILLHURST,CENTRE,BUILT-OUT,INNER CITY,-114.115158801259,51.0550595605234,"(51.055059560523, -114.115158801259)"
Residential,1,WHI,WHITEHORN,NORTHEAST,BUILT-OUT,1960s/1970s,-113.970068183473,51.0887740801425,"(51.088774080143, -113.970068183473)"
Residential,1,WGT,WESTGATE,WEST,BUILT-OUT,1950s,-114.15845717807,51.044160236555,"(51.044160236555, -114.15845717807)"
Industrial,2,WES,WESTWINDS,NORTHEAST,N/A,EMPLOYMENT,-113.97004175929,51.1033842687943,"(51.103384268794, -113.97004175929)"
Residential,1,WBN,WOODBINE,SOUTH,BUILT-OUT,1980s/1990s,-114.129615282327,50.941347635935,"(50.941347635935, -114.129615282327)"
Residential,1,WAL,WALDEN,SOUTH,DEVELOPING,BUILDING OUT,-114.032588132238,50.870404086764,"(50.870404086764, -114.032588132238)"
Residential,1,VIS,VISTA HEIGHTS,NORTHEAST,BUILT-OUT,1960s/1970s,-114.017726334613,51.0719330799521,"(51.071933079952, -114.017726334613)"
Residential,1,VAR,VARSITY,NORTHWEST,BUILT-OUT,1960s/1970s,-114.162615960222,51.0960092616932,"(51.096009261693, -114.162615960222)"
Residential,1,VAL,VALLEY RIDGE,WEST,BUILT-OUT,2000s,-114.251162702292,51.0953673669805,"(51.095367366981, -114.251162702292)"
Industrial,2,VAF,VALLEYFIELD,EAST,N/A,EMPLOYMENT,-113.998342059113,51.0114168988591,"(51.011416898859, -113.998342059113)"
Residential,1,UOC,UNIVERSITY OF CALGARY,NORTHWEST,BUILT-OUT,OTHER,-114.129916783917,51.0750124064486,"(51.075012406449, -114.129916783917)"
Residential,1,UNI,UNIVERSITY HEIGHTS,NORTHWEST,BUILT-OUT,1960s/1970s,-114.13308105929,51.0703934254769,"(51.070393425477, -114.13308105929)"
Residential,1,UND,UNIVERSITY DISTRICT,NORTHWEST,BUILT-OUT,OTHER,-114.144949350384,51.0738574233315,"(51.073857423332, -114.144949350384)"
Residential,1,UMR,UPPER MOUNT ROYAL,CENTRE,BUILT-OUT,INNER CITY,-114.08502085016,51.0299727403518,"(51.029972740352, -114.08502085016)"
Residential,1,TUX,TUXEDO PARK,CENTRE,BUILT-OUT,INNER CITY,-114.061043204102,51.0742452665166,"(51.074245266517, -114.061043204102)"
Residential,1,TUS,TUSCANY,NORTHWEST,BUILT-OUT,2000s,-114.24083757895,51.1219158894765,"(51.121915889477, -114.24083757895)"
Residential,1,THO,THORNCLIFFE,NORTH,BUILT-OUT,1950s,-114.068776977212,51.103099775816,"(51.103099775816, -114.068776977212)"
Residential,1,TEM,TEMPLE,NORTHEAST,BUILT-OUT,1960s/1970s,-113.946767730631,51.0887951436987,"(51.088795143699, -113.946767730631)"
Residential,1,TAR,TARADALE,NORTHEAST,DEVELOPING,2000s,-113.934002032237,51.1179408168819,"(51.117940816882, -113.934002032237)"
Residential,1,SVO,SILVERADO,SOUTH,DEVELOPING,BUILDING OUT,-114.071945078916,50.8850755825183,"(50.885075582518, -114.071945078916)"
Industrial,2,SUN,SUNRIDGE,NORTHEAST,N/A,EMPLOYMENT,-113.991701505722,51.0742233501057,"(51.074223350106, -113.991701505722)"
Residential,1,STR,STRATHCONA PARK,WEST,BUILT-OUT,1980s/1990s,-114.177555126009,51.0473883546299,"(51.04738835463, -114.177555126009)"
Industrial,2,STD,STARFIELD,EAST,N/A,EMPLOYMENT,-113.940036042649,51.0014380011196,"(51.00143800112, -113.940036042649)"
Residential,1,STA,ST. ANDREWS HEIGHTS,CENTRE,BUILT-OUT,1950s,-114.12741807028,51.0639063597495,"(51.06390635975, -114.12741807028)"
Industrial,2,ST4,STONEY 4,NORTHEAST,N/A,EMPLOYMENT,-114.002761577716,51.1762044869324,"(51.176204486932, -114.002761577716)"
Industrial,2,ST3,STONEY 3,NORTHEAST,N/A,EMPLOYMENT,-113.97583888588,51.1470328356804,"(51.14703283568, -113.97583888588)"
Industrial,2,ST2,STONEY 2,NORTHEAST,N/A,EMPLOYMENT,-114.017218448542,51.1433867646185,"(51.143386764619, -114.017218448542)"
Industrial,2,ST1,STONEY 1,NORTH,N/A,EMPLOYMENT,-114.024717033534,51.1611837974109,"(51.161183797411, -114.024717033534)"
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,BUILT-OUT,1950s,-114.114863752224,51.0421957148363,"(51.042195714836, -114.114863752224)"
Residential,1,SSD,SUNNYSIDE,CENTRE,BUILT-OUT,INNER CITY,-114.079016652198,51.0564194112469,"(51.056419411247, -114.079016652198)"
Industrial,2,SRI,SADDLE RIDGE INDUSTRIAL,NORTHEAST,N/A,EMPLOYMENT,-113.975728752312,51.1251895987234,"(51.125189598723, -113.975728752312)"
Residential,1,SPR,SPRUCE CLIFF,WEST,BUILT-OUT,1950s,-114.136468233901,51.0481976609441,"(51.048197660944, -114.136468233901)"
Residential,1,SPH,SPRINGBANK HILL,WEST,DEVELOPING,BUILDING OUT,-114.208453682797,51.0268351489005,"(51.026835148901, -114.208453682797)"
Residential,1,SOW,SOUTHWOOD,SOUTH,BUILT-OUT,1960s/1970s,-114.083175500369,50.9577732584852,"(50.957773258485, -114.083175500369)"
Residential,1,SOV,SOUTHVIEW,EAST,BUILT-OUT,1950s,-113.997337917561,51.0341560415662,"(51.034156041566, -113.997337917561)"
Residential,1,SOM,SOMERSET,SOUTH,BUILT-OUT,1980s/1990s,-114.081313415557,50.8987079757624,"(50.898707975762, -114.081313415557)"
Residential,1,SOC,SOUTH CALGARY,CENTRE,BUILT-OUT,INNER CITY,-114.102069673205,51.0268033831299,"(51.02680338313, -114.102069673205)"
Residential,1,SNA,SUNALTA,CENTRE,BUILT-OUT,INNER CITY,-114.101455470711,51.0429561464851,"(51.042956146485, -114.101455470711)"
Industrial,2,SKW,SKYLINE WEST,NORTH,N/A,EMPLOYMENT,-114.04739944342,51.103330485119,"(51.103330485119, -114.04739944342)"
Residential,1,SKR,SKYVIEW RANCH,NORTHEAST,DEVELOPING,2000s,-113.958374584808,51.1561260801993,"(51.156126080199, -113.958374584808)"
Industrial,2,SKE,SKYLINE EAST,NORTHEAST,N/A,EMPLOYMENT,-114.038929318168,51.1001501391307,"(51.100150139131, -114.038929318168)"
Residential,1,SIL,SILVER SPRINGS,NORTHWEST,BUILT-OUT,1960s/1970s,-114.194980321539,51.1077596615611,"(51.107759661561, -114.194980321539)"
Residential,1,SIG,SIGNAL HILL,WEST,BUILT-OUT,1980s/1990s,-114.179236846785,51.0228705914035,"(51.022870591404, -114.179236846785)"
Residential,1,SHW,SHERWOOD,NORTH,DEVELOPING,2000s,-114.153160234152,51.1602533298699,"(51.16025332987, -114.153160234152)"
Residential,1,SHS,SHAWNEE SLOPES,SOUTH,BUILT-OUT,1980s/1990s,-114.085812843716,50.926190747057,"(50.926190747057, -114.085812843716)"
Residential,1,SHN,SHAWNESSY,SOUTH,BUILT-OUT,1980s/1990s,-114.073756408287,50.9033101621815,"(50.903310162182, -114.073756408287)"
Industrial,2,SHI,SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,-113.992775343778,50.9614795590613,"(50.961479559061, -113.992775343778)"
Residential,1,SHG,SHAGANAPPI,CENTRE,BUILT-OUT,1950s,-114.126652830721,51.0452107844216,"(51.045210784422, -114.126652830721)"
Industrial,2,SGL,STONEGATE LANDING,NORTHEAST,N/A,EMPLOYMENT,-113.986681709732,51.1644703850525,"(51.164470385053, -113.986681709732)"
