,game_id,date,home,home_goals,away,away_goals,hoa,result,result_bool,Game,Team,TOI,CF_avg,CA_avg,CF%_avg,FF_avg,FA_avg,FF%_avg,SF_avg,SA_avg,SF%_avg,GF_avg,GA_avg,GF%_avg,xGF_avg,xGA_avg,xGF%_avg,SCF_avg,SCA_avg,SCF%_avg,HDCF_avg,HDCA_avg,HDCF%_avg,HDSF_avg,HDSA_avg,HDSF%_avg,HDGF_avg,HDGA_avg,HDGF%_avg,HDSH%_avg,HDSV%_avg,MDCF_avg,MDCA_avg,MDCF%_avg,MDSF_avg,MDSA_avg,MDSF%_avg,MDGF_avg,MDGA_avg,MDGF%_avg,MDSH%_avg,MDSV%_avg,LDCF_avg,LDCA_avg,LDCF%_avg,LDSF_avg,LDSA_avg,LDSF%_avg,LDGF_avg,LDGA_avg,LDGF%_avg,LDSH%_avg,LDSV%_avg,SH%_avg,SV%_avg,PDO_avg,blocks_avg,goals_avg,shots_avg,hits_avg,pim_avg,powerPlayOpportunities_avg,powerPlayGoals_avg,faceOffWinPercentage_avg,giveaways_avg,takeaways_avg
0,2018020001,2018-10-03,Maple Leafs,3,Canadiens,2,H,H_reg,1,"2018-10-03 - Canadiens 2, Maple Leafs 3",Toronto Maple Leafs,61.01666666666701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018020002,2018-10-03,Capitals,7,Bruins,0,H,H_reg,1,"2018-10-03 - Bruins 0, Capitals 7",Washington Capitals,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018020003,2018-10-03,Canucks,5,Flames,2,H,H_reg,1,"2018-10-03 - Flames 2, Canucks 5",Vancouver Canucks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2018020004,2018-10-03,Sharks,2,Ducks,5,H,A_reg,0,"2018-10-03 - Ducks 5, Sharks 2",San Jose Sharks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018020005,2018-10-04,Sabres,0,Bruins,4,H,A_reg,0,"2018-10-04 - Bruins 4, Sabres 0",Buffalo Sabres,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018020006,2018-10-04,Rangers,2,Predators,3,H,A_reg,0,"2018-10-04 - Predators 3, Rangers 2",New York Rangers,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2018020007,2018-10-04,Penguins,7,Capitals,6,H,H_reg,1,"2018-10-04 - Capitals 6, Penguins 7",Pittsburgh Penguins,61.333333333332995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2018020008,2018-10-04,Hurricanes,1,Islanders,2,H,A_OT,0,"2018-10-04 - Islanders 2, Hurricanes 1",Carolina Hurricanes,60.716666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2018020009,2018-10-04,Senators,3,Blackhawks,4,H,A_OT,0,"2018-10-04 - Blackhawks 4, Senators 3",Ottawa Senators,60.633333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2018020010,2018-10-04,Red Wings,2,Blue Jackets,3,H,A_OT,0,"2018-10-04 - Blue Jackets 3, Red Wings 2",Detroit Red Wings,62.183333333332996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2018020011,2018-10-04,Blues,1,Jets,5,H,A_reg,0,"2018-10-04 - Jets 5, Blues 1",St Louis Blues,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2018020012,2018-10-04,Stars,3,Coyotes,0,H,H_reg,1,"2018-10-04 - Coyotes 0, Stars 3",Dallas Stars,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2018020013,2018-10-04,Avalanche,4,Wild,1,H,H_reg,1,"2018-10-04 - Wild 1, Avalanche 4",Colorado Avalanche,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2018020014,2018-10-04,Golden Knights,2,Flyers,5,H,A_reg,0,"2018-10-04 - Flyers 5, Golden Knights 2",Vegas Golden Knights,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2018020015,2018-10-05,Blue Jackets,1,Hurricanes,3,H,A_reg,0,"2018-10-05 - Hurricanes 3, Blue Jackets 1",Columbus Blue Jackets,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2018020016,2018-10-05,Kings,2,Sharks,3,H,A_OT,0,"2018-10-05 - Sharks 3, Kings 2",Los Angeles Kings,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2018020017,2018-10-06,Sabres,3,Rangers,1,H,H_reg,1,"2018-10-06 - Rangers 1, Sabres 3",Buffalo Sabres,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2018020018,2018-10-06,Maple Leafs,3,Senators,5,H,A_reg,0,"2018-10-06 - Senators 5, Maple Leafs 3",Toronto Maple Leafs,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2018020019,2018-10-06,Lightning,2,Panthers,1,H,H_reg,1,"2018-10-06 - Panthers 1, Lightning 2",Tampa Bay Lightning,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2018020020,2018-10-06,Devils,5,Oilers,2,H,H_reg,1,"2018-10-06 - Oilers 2, Devils 5",New Jersey Devils,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2018020021,2018-10-06,Islanders,3,Predators,4,H,A_reg,0,"2018-10-06 - Predators 4, Islanders 3",New York Islanders,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2018020022,2018-10-06,Penguins,1,Canadiens,5,H,A_reg,0,"2018-10-06 - Canadiens 5, Penguins 1",Pittsburgh Penguins,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2018020023,2018-10-06,Stars,5,Jets,1,H,H_reg,1,"2018-10-06 - Jets 1, Stars 5",Dallas Stars,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2018020024,2018-10-06,Blues,4,Blackhawks,5,H,A_OT,0,"2018-10-06 - Blackhawks 5, Blues 4",St Louis Blues,62.333333333332995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2018020025,2018-10-06,Wild,1,Golden Knights,2,H,A_SO,0,"2018-10-06 - Golden Knights 2, Wild 1",Minnesota Wild,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2018020026,2018-10-06,Avalanche,5,Flyers,2,H,H_reg,1,"2018-10-06 - Flyers 2, Avalanche 5",Colorado Avalanche,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2018020027,2018-10-06,Coyotes,0,Ducks,1,H,A_reg,0,"2018-10-06 - Ducks 1, Coyotes 0",Arizona Coyotes,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2018020028,2018-10-06,Flames,7,Canucks,4,H,H_reg,1,"2018-10-06 - Canucks 4, Flames 7",Calgary Flames,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2018020029,2018-10-07,Hurricanes,8,Rangers,5,H,H_reg,1,"2018-10-07 - Rangers 5, Hurricanes 8",Carolina Hurricanes,60.0,11.5,-13.0,9.724999999999994,5.5,-5.5,5.535000000000004,0.5,-5.0,4.75,0.5,-1.5,21.665,0.31000000000000005,-0.2649999999999997,5.119999999999997,10.0,0.5,6.445000000000007,0.0,1.5,-3.519999999999996,-0.5,0.0,1.0450000000000017,-0.5,0.0,0.0,-4.030000000000001,3.335000000000008,10.0,-1.0,15.754999999999995,6.0,0.0,18.045,1.0,-0.5,50.0,14.285,8.174999999999997,5.0,-12.0,15.930000000000007,-4.5,-6.0,8.874999999999993,0.0,-0.5,25.0,0.0,3.569999999999993,1.455,3.155000000000001,0.04600000000000004,-7.5,0.5,0.5,2.0,-5.5,0.0,0.0,3.200000000000003,2.5,6.0
29,2018020030,2018-10-07,Blackhawks,6,Maple Leafs,7,H,A_OT,0,"2018-10-07 - Maple Leafs 7, Blackhawks 6",Chicago Blackhawks,60.316666666667004,-6.5,-2.0,-2.864999999999995,0.5,-0.5,-0.5100000000000051,5.0,-2.5,5.320000000000007,1.5,0.0,7.600000000000001,-0.8900000000000006,-0.8300000000000001,-0.14499999999999602,-11.5,-2.0,-8.160000000000004,-4.5,-0.5,-11.134999999999998,-2.5,-2.5,-2.980000000000004,1.0,-0.5,12.5,12.5,11.224999999999994,-7.0,-1.5,-6.599999999999994,-2.0,-4.5,10.215000000000003,-0.5,0.0,-8.335,-2.3500000000000014,-9.230000000000018,6.5,0.5,4.4950000000000045,8.5,5.5,0.2950000000000017,1.0,1.0,-25.0,1.6,-6.25,3.160000000000002,0.5300000000000011,0.036499999999999866,-1.5,1.5,5.0,-8.0,3.0,1.0,-1.0,-8.950000000000003,-4.5,-6.5
30,2018020031,2018-10-07,Kings,4,Red Wings,2,H,H_reg,1,"2018-10-07 - Red Wings 2, Kings 4",Los Angeles Kings,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
