,game_id,date,home,home_goals,away,away_goals,hoa,result,result_bool,Game,Team,TOI,CF_avg,CA_avg,CF%_avg,FF_avg,FA_avg,FF%_avg,SF_avg,SA_avg,SF%_avg,GF_avg,GA_avg,GF%_avg,xGF_avg,xGA_avg,xGF%_avg,SCF_avg,SCA_avg,SCF%_avg,HDCF_avg,HDCA_avg,HDCF%_avg,HDSF_avg,HDSA_avg,HDSF%_avg,HDGF_avg,HDGA_avg,HDGF%_avg,HDSH%_avg,HDSV%_avg,MDCF_avg,MDCA_avg,MDCF%_avg,MDSF_avg,MDSA_avg,MDSF%_avg,MDGF_avg,MDGA_avg,MDGF%_avg,MDSH%_avg,MDSV%_avg,LDCF_avg,LDCA_avg,LDCF%_avg,LDSF_avg,LDSA_avg,LDSF%_avg,LDGF_avg,LDGA_avg,LDGF%_avg,LDSH%_avg,LDSV%_avg,SH%_avg,SV%_avg,PDO_avg,blocks_avg
0,2017020001,2017-10-04,Jets,2,Maple Leafs,7,H,A_reg,0,"2017-10-04 - Maple Leafs 7, Jets 2",Winnipeg Jets,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017020002,2017-10-04,Penguins,4,Blues,5,H,A_OT,0,"2017-10-04 - Blues 5, Penguins 4",Pittsburgh Penguins,61.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017020003,2017-10-04,Oilers,3,Flames,0,H,H_reg,1,"2017-10-04 - Flames 0, Oilers 3",Edmonton Oilers,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017020004,2017-10-04,Sharks,3,Flyers,5,H,A_reg,0,"2017-10-04 - Flyers 5, Sharks 3",San Jose Sharks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017020005,2017-10-05,Bruins,4,Predators,3,H,H_reg,1,"2017-10-05 - Predators 3, Bruins 4",Boston Bruins,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017020006,2017-10-05,Sabres,2,Canadiens,3,H,A_SO,0,"2017-10-05 - Canadiens 3, Sabres 2",Buffalo Sabres,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017020007,2017-10-05,Rangers,2,Avalanche,4,H,A_reg,0,"2017-10-05 - Avalanche 4, Rangers 2",New York Rangers,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017020008,2017-10-05,Senators,4,Capitals,5,H,A_SO,0,"2017-10-05 - Capitals 5, Senators 4",Ottawa Senators,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2017020009,2017-10-05,Red Wings,4,Wild,2,H,H_reg,1,"2017-10-05 - Wild 2, Red Wings 4",Detroit Red Wings,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017020010,2017-10-05,Blackhawks,10,Penguins,1,H,H_reg,1,"2017-10-05 - Penguins 1, Blackhawks 10",Chicago Blackhawks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2017020011,2017-10-05,Ducks,5,Coyotes,4,H,H_reg,1,"2017-10-05 - Coyotes 4, Ducks 5",Anaheim Ducks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2017020012,2017-10-05,Kings,2,Flyers,0,H,H_reg,1,"2017-10-05 - Flyers 0, Kings 2",Los Angeles Kings,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2017020013,2017-10-06,Blue Jackets,5,Islanders,0,H,H_reg,1,"2017-10-06 - Islanders 0, Blue Jackets 5",Columbus Blue Jackets,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2017020014,2017-10-06,Lightning,5,Panthers,3,H,H_reg,1,"2017-10-06 - Panthers 3, Lightning 5",Tampa Bay Lightning,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2017020015,2017-10-06,Stars,1,Golden Knights,2,H,A_reg,0,"2017-10-06 - Golden Knights 2, Stars 1",Dallas Stars,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
