CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805026,Drumheller,2018,Natural Gas Production,m3,45710.90000
4805031,Starland County,2018,Natural Gas Production,m3,562042.60000
4805041,Kneehill County,2018,Natural Gas Production,m3,2452594.50000
4802001,Warner County No. 5,2018,Natural Gas Production,m3,229669.10000
4807049,Wainwright No. 61,2018,Natural Gas Production,m3,251671.00000
4808001,Red Deer County,2018,Natural Gas Production,m3,1212208.70000
4805012,Wheatland County,2018,Natural Gas Production,m3,2971714.80000
4807019,Stettler County No. 6,2018,Natural Gas Production,m3,622179.90000
4808022,Lacombe County,2018,Natural Gas Production,m3,1176273.80000
4807031,Flagstaff County,2018,Natural Gas Production,m3,108460.30000
4807011,Paintearth County No. 18,2018,Natural Gas Production,m3,145070.80000
4810001,Camrose County,2018,Natural Gas Production,m3,290058.50000
4811061,Edmonton,2018,Natural Gas Production,m3,1212.00000
4803001,Cardston County,2018,Natural Gas Production,m3,42300.10000
4803003,Improvement District No.  4 Waterton,2018,Natural Gas Production,m3,41441.40000
4802031,Newell County,2018,Natural Gas Production,m3,3568756.20000
4808038,Ponoka County,2018,Natural Gas Production,m3,2202104.60000
4812037,Lac la Biche County,2018,Natural Gas Production,m3,504925.30000
4809002,Clearwater County,2018,Natural Gas Production,m3,13852282.50000
4810026,Minburn County No. 27,2018,Natural Gas Production,m3,371507.80000
4813028,Westlock County,2018,Natural Gas Production,m3,34211.90000
4813029,Woodlands County,2018,Natural Gas Production,m3,631800.70000
4813018,Barrhead County No. 11,2018,Natural Gas Production,m3,134007.90000
4810016,Beaver County,2018,Natural Gas Production,m3,239192.40000
4801008,Forty Mile County No. 8,2018,Natural Gas Production,m3,171146.40000
4801003,Cypress County,2018,Natural Gas Production,m3,3456064.40000
4803018,Willow Creek No. 26,2018,Natural Gas Production,m3,318374.40000
4802011,Lethbridge County,2018,Natural Gas Production,m3,79146.60000
4803011,Pincher Creek No. 9,2018,Natural Gas Production,m3,960303.50000
4804001,Acadia No. 34,2018,Natural Gas Production,m3,4327.40000
4804004,Special Area No. 2,2018,Natural Gas Production,m3,1129651.60000
4804012,Special Area No. 3,2018,Natural Gas Production,m3,91989.40000
4804020,Special Area No. 4,2018,Natural Gas Production,m3,650602.90000
4805001,Vulcan County,2018,Natural Gas Production,m3,409492.30000
4806001,Foothills No. 31,2018,Natural Gas Production,m3,158040.40000
4806014,Rocky View County,2018,Natural Gas Production,m3,2136721.90000
4806016,Calgary,2018,Natural Gas Production,m3,461.30000
4806028,Mountain View County,2018,Natural Gas Production,m3,1989942.40000
4807001,Provost No. 52,2018,Natural Gas Production,m3,169855.00000
4819041,Smoky River No. 130,2018,Natural Gas Production,m3,165767.80000
4810036,Vermilion River County,2018,Natural Gas Production,m3,372876.80000
4817026,Northern Sunrise County,2018,Natural Gas Production,m3,735475.20000
4817027,Big Lakes County,2018,Natural Gas Production,m3,268893.10000
4817031,Opportunity No. 17,2018,Natural Gas Production,m3,321361.40000
4813001,Lac Ste. Anne County,2018,Natural Gas Production,m3,75916.60000
4819049,Birch Hills County,2018,Natural Gas Production,m3,151158.40000
4819054,Spirit River No. 133,2018,Natural Gas Production,m3,24749.70000
4819059,Saddle Hills County,2018,Natural Gas Production,m3,9831609.50000
4819066,Fairview No. 136,2018,Natural Gas Production,m3,412803.20000
4811032,Brazeau County,2018,Natural Gas Production,m3,2959653.90000
4811034,Parkland County,2018,Natural Gas Production,m3,215532.40000
4811052,Strathcona County,2018,Natural Gas Production,m3,25379.60000
4811059,Sturgeon County,2018,Natural Gas Production,m3,70330.90000
4817095,Mackenzie County,2018,Natural Gas Production,m3,1391423.90000
4812038,Improvement District No. 349,2018,Natural Gas Production,m3,621937.40000
4817062,Clear Hills,2018,Natural Gas Production,m3,560168.50000
4811062,St. Albert,2018,Natural Gas Production,m3,57.90000
4818015,Greenview No. 16,2018,Natural Gas Production,m3,35682384.60000
4819006,Grande Prairie County No. 1,2018,Natural Gas Production,m3,4529313.00000
4812004,Bonnyville No. 87,2018,Natural Gas Production,m3,898927.10000
4812014,St. Paul County No. 19,2018,Natural Gas Production,m3,199185.00000
4812022,Smoky Lake County,2018,Natural Gas Production,m3,128432.40000
4819071,Peace No. 135,2018,Natural Gas Production,m3,19518.00000
4815013,Kananaskis,2018,Natural Gas Production,m3,546353.40000
4815015,Bighorn No. 8,2018,Natural Gas Production,m3,1326572.90000
4815045,Ranchland No. 66,2018,Natural Gas Production,m3,248.30000
4816037,Wood Buffalo,2018,Natural Gas Production,m3,1197352.80000
4811012,Leduc County,2018,Natural Gas Production,m3,331034.50000
4811001,Wetaskiwin County No. 10,2018,Natural Gas Production,m3,853676.00000
4817076,Northern Lights County,2018,Natural Gas Production,m3,399753.30000
4813036,Thorhild County,2018,Natural Gas Production,m3,28504.20000
4813044,Athabasca County,2018,Natural Gas Production,m3,88135.90000
4817033,Lesser Slave River No.124,2018,Natural Gas Production,m3,270525.50000
4810058,Lamont County,2018,Natural Gas Production,m3,30211.50000
4810048,Two Hills County No. 21,2018,Natural Gas Production,m3,88699.30000
4814003,Yellowhead County,2018,Natural Gas Production,m3,25533007.40000
