CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805026,Drumheller,2018,Oil Production,m3,6969.60000
4805031,Starland County,2018,Oil Production,m3,112882.50000
4805041,Kneehill County,2018,Oil Production,m3,280762.70000
4802001,Warner County No. 5,2018,Oil Production,m3,195193.90000
4807049,Wainwright No. 61,2018,Oil Production,m3,1086087.10000
4808001,Red Deer County,2018,Oil Production,m3,441019.90000
4805012,Wheatland County,2018,Oil Production,m3,342765.60000
4807019,Stettler County No. 6,2018,Oil Production,m3,111396.90000
4808022,Lacombe County,2018,Oil Production,m3,536728.90000
4807031,Flagstaff County,2018,Oil Production,m3,156894.80000
4807011,Paintearth County No. 18,2018,Oil Production,m3,144346.50000
4810001,Camrose County,2018,Oil Production,m3,49097.00000
4811061,Edmonton,2018,Oil Production,m3,6507.30000
4803001,Cardston County,2018,Oil Production,m3,76966.60000
4802031,Newell County,2018,Oil Production,m3,1188538.20000
4808038,Ponoka County,2018,Oil Production,m3,293191.60000
4812037,Lac la Biche County,2018,Oil Production,m3,7919413.30000
4809002,Clearwater County,2018,Oil Production,m3,1488124.50000
4810026,Minburn County No. 27,2018,Oil Production,m3,141971.40000
4813028,Westlock County,2018,Oil Production,m3,24158.00000
4813029,Woodlands County,2018,Oil Production,m3,231012.10000
4813018,Barrhead County No. 11,2018,Oil Production,m3,10448.60000
4810016,Beaver County,2018,Oil Production,m3,155005.00000
4801008,Forty Mile County No. 8,2018,Oil Production,m3,81523.40000
4801003,Cypress County,2018,Oil Production,m3,823618.00000
4803018,Willow Creek No. 26,2018,Oil Production,m3,162033.40000
4802011,Lethbridge County,2018,Oil Production,m3,83127.20000
4803011,Pincher Creek No. 9,2018,Oil Production,m3,812.30000
4804001,Acadia No. 34,2018,Oil Production,m3,3836.80000
4804004,Special Area No. 2,2018,Oil Production,m3,424028.50000
4804012,Special Area No. 3,2018,Oil Production,m3,52872.90000
4804020,Special Area No. 4,2018,Oil Production,m3,1165371.20000
4805001,Vulcan County,2018,Oil Production,m3,122284.50000
4806001,Foothills No. 31,2018,Oil Production,m3,111588.50000
4806014,Rocky View County,2018,Oil Production,m3,111375.10000
4806016,Calgary,2018,Oil Production,m3,437.70000
4806028,Mountain View County,2018,Oil Production,m3,336942.50000
4807001,Provost No. 52,2018,Oil Production,m3,1241522.90000
4819041,Smoky River No. 130,2018,Oil Production,m3,212339.50000
4810036,Vermilion River County,2018,Oil Production,m3,2446385.90000
4817026,Northern Sunrise County,2018,Oil Production,m3,2478913.90000
4817027,Big Lakes County,2018,Oil Production,m3,1318387.80000
4817031,Opportunity No. 17,2018,Oil Production,m3,4408711.40000
4813001,Lac Ste. Anne County,2018,Oil Production,m3,77370.60000
4819049,Birch Hills County,2018,Oil Production,m3,38022.60000
4819054,Spirit River No. 133,2018,Oil Production,m3,30063.20000
4819059,Saddle Hills County,2018,Oil Production,m3,1853078.60000
4819066,Fairview No. 136,2018,Oil Production,m3,6346.10000
4811032,Brazeau County,2018,Oil Production,m3,1877568.00000
4811034,Parkland County,2018,Oil Production,m3,201013.90000
4811052,Strathcona County,2018,Oil Production,m3,119602.40000
4811059,Sturgeon County,2018,Oil Production,m3,242798.40000
4817095,Mackenzie County,2018,Oil Production,m3,478357.30000
4812038,Improvement District No. 349,2018,Oil Production,m3,13042800.00000
4817062,Clear Hills,2018,Oil Production,m3,386468.00000
4811062,St. Albert,2018,Oil Production,m3,56.40000
4818015,Greenview No. 16,2018,Oil Production,m3,3422322.30000
4819006,Grande Prairie County No. 1,2018,Oil Production,m3,951677.10000
4812004,Bonnyville No. 87,2018,Oil Production,m3,13273159.80000
4812014,St. Paul County No. 19,2018,Oil Production,m3,1763736.40000
4812022,Smoky Lake County,2018,Oil Production,m3,46755.30000
4819071,Peace No. 135,2018,Oil Production,m3,97074.20000
4815013,Kananaskis,2018,Oil Production,m3,33675.20000
4815045,Ranchland No. 66,2018,Oil Production,m3,306.80000
4816037,Wood Buffalo,2018,Oil Production,m3,47438227.10000
4811012,Leduc County,2018,Oil Production,m3,559494.90000
4811001,Wetaskiwin County No. 10,2018,Oil Production,m3,361648.90000
4817076,Northern Lights County,2018,Oil Production,m3,159096.20000
4813036,Thorhild County,2018,Oil Production,m3,88144.90000
4813044,Athabasca County,2018,Oil Production,m3,2719.30000
4817033,Lesser Slave River No.124,2018,Oil Production,m3,624176.40000
4810058,Lamont County,2018,Oil Production,m3,126325.80000
4810048,Two Hills County No. 21,2018,Oil Production,m3,197713.20000
4814003,Yellowhead County,2018,Oil Production,m3,897298.40000
