listing_id,id,date,reviewer_id,reviewer_name,comments
19885326,293790158,2018-07-21,201288870,Feng,Very nice the room is! Living room is comfortable! Self check in very convenient!
8313266,176885591,2017-08-01,7762489,Mike,Jean-Pierre's place met our needs perfectly. It is a fantastic location right in the Marais with a ton of great restaurants bars and shops. It's also easy walk (or use the public bike share) to most major sites like the Louvre Notre Dame les Tuilleries and Ile de St. Louis. We even biked past the Arc de Triomphe to the phenomenal Gehry -designed Fondation Louis Vuitton. The apartment itself is very cozy clean and comfortable and Jean-Pierre couldn't have been nicer and easier to coordinate with.  Perfect for 1 or a couple. 
16698710,331635154,2018-10-03,214251112,昕,房间很小尤其是洗澡间非常小转身比较困难｡整体地理位置还可以距离地铁站走路10分钟左右旁边就有超市生活比较方便有公交车直达巴黎北站｡
23941751,429495821,2019-03-28,190781720,Hsu Hsin,位於一個巷子內很安靜位置也很好附近有幾間超市也有很好的咖啡店生活機能很好感覺晚上也很安全｡美中不足的是枕頭有點扁然後煮飯沒有抽油煙機但整體來說很棒!
193627,828969,2012-01-03,1139466,Barbara,"The appartment was really great situated in the nicest quartier of Paris quiet and very clean!

Celine's place is very good equiped with Flatscreen TV and DVD and many films concerning Paris:))

The bed and the bathroom were also fine and much space in the cupboards for the clothes.

The perfect place to stay in Paris!"
247764,64417944,2016-03-04,1378732,David,The host canceled this reservation 27 days before arrival. This is an automated posting.
18603659,336413631,2018-10-14,96240880,Erin,Our stay at Charlotte's place was absolutely fantastic. We loved the apartment everything was as described tidy and stylish. The location was excellent being both in a great neighborhood with tons of good restaurants – and close to public transportation. It was easy to get just about anywhere in the city in under 30 minutes with the apartment as our starting point. Charlotte left some great notes on what was good in the area as well incredibly helpful. Charlotte was also very quick to respond to any questions which was so appreciated. I absolutely recommend.
15019440,115835692,2016-11-27,30248306,Yana,We had very nice experience staying at Gam's apartment. The place is very clean and neat shower and kitchen are perfect everything is newly renovated. The towels smelled like just out of the washing machine very fresh and the bed as well. There is heating system so in winter its very warm. Gam is very helpful and great person was always in contact and ready to help out anytime! Apartment is in the great area with lots of cafes and restaurants. Also its walking distance to many sightseeings. Definitely recommended!!
8876983,217757650,2017-12-10,111324261,Ben,Great little boutique hotel quirky and convenient to excellent night life. Great value did the job perfectly.
27132220,338393730,2018-10-19,209673481,Miranda,The Louvre apartment was spacious secure beautifully furnished with a lovely bathroom. It was quiet comfortable and convenient. This is a fantastic choice for a short Paris stay far preferable to a hotel and one place I would definitely recommend. You could not find a more central location and you had a choice of wonderful restaurants moments away. Added to this you are just a stone’s throw from the Paris metro. Our hosts made our stay a comfortable one.  Thank you so much!!
328847,24596776,2014-12-31,23153402,Ville,Kun menimme asunnolle kaikki oli juuri niinkuin oli sovittu. Avaimien nouto ja kaikki muukin onnistui erittäin helposti. Asunto oli mukava ja rauhallisella alueella ja sinne oli mukava palata pitkän päivän jälkeen Pariisissa. Ehdottomasti voisin mennä uudestaan. 
17299653,180127619,2017-08-09,136435474,Vkki,Studio lumineux et très propre assez grand parfait pour deux personnes ! Seul bémol il n'y a pas de micronde.
2275575,320640581,2018-09-09,20298041,Tara,"This Parisian apartment is exquisitely charming full of beautiful features.

The location in the 7eme is super!

Nestor is a fabulous host so  helpful and polite with great communication and local tips.

I couldn’t recommend a stay here highly enough and will definitely come back soon."
7394794,126603616,2017-01-13,42510838,Jessa,Pierrick's place was clean accessible in a great location safe and very comfortable.  He was super helpful with the details of checking in and the area.  Overall it was a very pleasant experience.  Would definitely recommend!
2351015,201885188,2017-10-09,62003462,James,I was very happy to be in Alison's place for my first weekend in Paris. It's a small room but I am a big fan of that and has everything you need for a good night's sleep.
1385662,325663286,2018-09-20,214771031,Soumaya,L'emplacement la chambre et l'hospitalité de Lil sont vraiment extra surtout pour ceux qui cherchent spécialement dans le 15ème. Même si Lil ne peut se rendre disponible tout est expliqué facilement et on se sent vraiment bien dans cet appart.
4538227,423144856,2019-03-13,207239833,Natalia,Great location fast response from the host and the place serves your needs - small but enough for a few days’ stay! Highly recommend.
25005981,488582292,2019-07-15,5847268,John,Very stylish Parisian apartment in a lovely area for dining snacking and shopping. Excellent connections to public transport too.
30314984,536748877,2019-09-27,60461850,(Email hidden by Airbnb),Merci
7629326,451188616,2019-05-11,59344594,Julianne,"This spot was great for us! The inside of the apt. is straightforward. Clean simple spacious for 2 people. The space was nice but there were not ""extra"" amenities. Be prepared to have your own toilet paper dish soap hand soap shampoo conditioner. The balcony is absolutely magical. It is spacious and cozy perfect for a lovely afternoon with wine and friends."
21004432,215697958,2017-12-01,151235275,Yvan,Vous regretterez pas
26171348,289354947,2018-07-12,52393775,Nicolas,Excellent appartement très bien situé. Lucie fournie d'excellentes informations sur les lieux de sorties dans le quartier. Au top!
33795801,524668220,2019-09-06,186447395,Dongjoon,"Its first time use ABnB. 
So when I checked in   I miss a pointed. So its so hard time. It was my fault. But she was so helped me. 
She was busy but she helped me! And the house was great! Also location and neighbour! 

she was so kind and good time ! 
Thanks"
28798038,458609991,2019-05-26,73979348,Bridget,"Great location! Very easy to work with. Overall better than I expected and the flat is beautiful very clean quiet and overlooks a beautiful garden with large windows that open up. 

Would highly recommend!"
31460021,524150455,2019-09-05,99561225,Valen,Excellent location and nice apartment. Hi was really nice and reactive to our messages. We recommend it.
17877471,202610728,2017-10-12,2337320,Emilio,"Un lugar maravilloso situado en pleno centro del Marais.

Rudy and Benjamin fueron muy cooperativos para organizar mi llegada al apartamento.

Espacios muy agradables. Lo recomiendo..."
18519040,264167799,2018-05-13,26809478,Stephane,Un logement atypique très agréable.
19396342,163522564,2017-06-25,54115645,Lucas,The host canceled this reservation 84 days before arrival. This is an automated posting.
