listing_id,id,date,reviewer_id,reviewer_name,comments
1641060,161028464,2017-06-16,7345956,Justin,"Sharon's place is very cozy and comfortable. Located close to public transit it's the perfect location for your San Francisco visit. 

Sharon was also responsive and communicative making all arrangements simple and convenient. "
213532,7408970,2013-09-18,8794514,Neil,Great room and great location. 
749744,94838881,2016-08-17,3626753,James,Responsive host.  Beautiful garden.  Clean Place. Great location.  Does not sleep 4 comfortably.  Best for three adults or couple with small children.   
1998111,10606451,2014-02-27,9136683,Jelena,Kenix was a great host and the place was very clean tidy and well equipped.
6336315,526328808,2019-09-08,151800066,Lester,Robert’s place is located in DT San Francisco which has really good access to every scenic spot in this city. This neighborhood is comparatively quite place even though sometimes you’ll hear some conflicts or music from outside it was mostly fine when it was at night. You can enjoy free coffee every morning here and the bathroom is sparkling clean. Anyway because of this lovely place me and my partner both enjoyed this city again a lot. Thank you Robert!
12025717,110498178,2016-10-26,32956990,Youjin,Vlad & Ira's place was clean and cozy my parents stayed here for 2 weeks and they enjoyed their stay. The living room sofa beds were surprisingly comfortable. Fully quipped kitchen safe community and parking space!! Wish the bathroom was accessible from the living room but we knew this before. Excellent value for the money & superb communication with the owners. I'd have them stay here again in the future. 
5253439,301191264,2018-08-03,78458469,Didier,"Zain et Duncan accueillent jusque 10 voyageurs (1 ch de 2 (couple)+ 2 ch de 4 lits individuels) dans une ambiance tres chaleureuse et conviviale et proche de tout dans le quartier tres sympa de Mission. On se sent tres vite faire partie d'une famille qui vient du monde entier !
Deux maitres mots : echange et partage.
A signaler salle d'escalade et muscu gigantesque à 5mn.
Avant de partir ne pas oublier de faire le petit selfie avec le polaroid prévu pour ca et de l'accrocher sur le mur de portraits !
Sûr je reviens là lors de mon prochain sejour à SF !
"
13022232,149740270,2017-05-05,1112586,Michelle,Peihong is great host!! She is very friendly and nice. Her place is very clean and comfortable. Room has a nice view. She offered fruits and breakfast that was good!! Location is really convenient. Neighood is safe and quiet. We had a great time staying with her. She treated us like family. Great recommendations hospitality and highly recommend staying while in SF. Thanks Peihong!!:)
786506,151061046,2017-05-10,127776361,Jose,The location is awesome and the staff is very friendly and helpful def going back again.
27960744,466974169,2019-06-09,70428201,Laura,This place is amazing! The backyard patio is so serene and they provided thoughtful touches like light breakfast options and local tips. We highly recommend!!
13082310,215789090,2017-12-01,56352281,Joseph,Great space in the Mission. Responsive management. Thank you!
16569308,214886906,2017-11-26,146697383,Herve,The most important thing is that we had a great time staying at Amber's place. It's central location made it a breeze to get anywhere in SF.  The slightly unusual layout made it that much more fun to stay there.  The kitchen is on the small side but worked for us.  Great beds had us sleeping in a heartbeat.
1356129,498394519,2019-07-29,128027557,Jeremy,Loved the space and location. Great hosts and we were able to come and go as we pleased without disturbing them. Would absolutely stay there again on our next vacation!
738547,350240360,2018-11-18,194411737,Sherry,Lots of stairs but hey that’s San Francisco!
785901,401145135,2019-01-13,233710971,Kelli,Great place! Fun people! The location was right next to Chinatown. Be warned the hostel is up a few flights of stairs
14852542,130589249,2017-02-06,95471354,David,We stayed 3 nights with 4 adults.  This place was perfect!  Even better than the pictures.  Megan also responded to all communications immediately.  We definitely recommend this place!
1408281,120474702,2016-12-10,6977123,Claudio,Very comfortable room amazing view and very good location to enjoy San Francisco plus many thanks and good luck to Thomas for being a great host!
1104362,67184760,2016-03-27,8155439,Jade,I booked with Jan on behalf of a colleague of mine who was relocating to the San Francisco area. Jan was very quick to respond shared all necessary details of the check in and stay and made sure that our guest was welcomed and well accommodated. Great host great place!
720811,90622163,2016-08-01,21459074,Goncalo,"Our stay at Ron and Cherie ' s apartment was good. We met Ron and he was nice and gave us some suggestions for a nice breakfast around the neighbourhood. Checkin and checkout went very well and Ron was really flexible. 
Regarding the apartment  it has all you need for a small family. Pros: Super comfy bed nice garden especially for family with kids and in a calm neighbourhood.  Cons: a microwave would be so handy ;)

Recommend the apartment and the hosts!"
