listing_id,id,date,reviewer_id,reviewer_name,comments
6227042,262626703,2018-05-09,68051830,Raymond,Very accessible to the core of the city. The place was clean and spacious with kitchen and dining table for those who prefer to dine in. Overall very satisfied with the stay
19711890,326171792,2018-09-21,99301524,Sohaib,Very nice for a  family
1382277,51598757,2015-10-21,12912197,Brandon,Cristina was very accommodating and awesome to deal with. I made the request the morning of the day we stayed at her loft and she did everything she could do to make sure the place was ready and available for my friend and I. The location was fantastic! The distillery district is full of character and I wish we were able to spend more time there. The view from the roof is fantastic! I would definitely stay here again and would absolutely recommend this place to anyone.  
5683127,232840778,2018-02-06,171283448,Patricia,Going into Neil's place is like walking into your home. No mess and comfy. Host goes more then the mile if you ask for anything. Don't expect the Ritz but comfort and hospitality are much more. Money well spent.
29702333,530120761,2019-09-15,270733165,Chris,"Amazing condo super easy to check in and out. Location could not be any better!
Very clean and loved the touches of snacks and drinks that were provided.

Would definitely recommend!"
12129574,129853303,2017-02-02,111413362,Алексей,The host canceled this reservation 55 days before arrival. This is an automated posting.
7003701,156099956,2017-05-29,385618,Luke,Just as all other reviews state really great Queen W apartment. Would love to stay again.
20592334,209177829,2017-11-04,65246,Antonio,The apartment has simply EVERYTHING you can need to feel like home. Great attention to detail. The location and building are very good and the parking deal has a very good price. Very recomendable
2906218,335277079,2018-10-11,14112173,Kirstin,"Geräumiges gut ausgestattetes Apartment in einer tollen Gegend  für 2 Personen ideal.
Das Badezimmer ist winzig also nichts für übergewichtige 2m Menschen
Marty ist ein sehr zuvorkommender Gastgeber"
11123445,352724203,2018-11-25,48406170,Yvonne,We had a wonderful stay with Ann and Dave over the weekend! They (and their lovely dogs and cat) were so sweet and accommodating to us and our dog. Their cosy house was an easy drive from the city and also located just a short walk away from the lake which was beautiful to walk around. They were very thoughtful in leaving out treats bowls and a blanket for our dog. We also enjoyed learning about the story behind the honey house and tasting their delicious parmesan crisps! Thanks again for the delightful stay and we are very excited to try the honey in our upcoming recipes:)
6702085,324645344,2018-09-17,187112279,Kimberly,Very clean spacious and host extremely helpful! Perfect for those attending the Toronto International Film Festival! Ryerson theatre a block away. I will book again and recommend readily. Great place to hang your hat and feel like home
24388472,353129823,2018-11-26,226309200,Duncan,Definitely a great spot to book if you're downtown and want to stay in a dog friendly place. There's a great park across the way and the ease of access to everything was a huge plus. Hannah was also incredibly responsive to questions and there was no issue checking in whatsoever. A perfect 1st airbnb experience!
32156739,488740055,2019-07-15,5833929,Wai Sze,Chintan's place is conveniently located and near many attractions. It was our first time in Toronto and we enjoyed our stay here. The condo was clean and bright with a nice view. Although you can hear the trains as they go by we never had trouble sleeping at night. The designated underground parking spot is right next to the elevator which was nice for unloading luggage. Thanks for a great stay!
23091057,479261809,2019-06-30,207647350,Austin,房源不由房东本人管理入住时交流十分无效且不友好｡等待入住时间超过一小时｡
28336416,489395617,2019-07-16,187029504,Manu,Nice and clean place. Host was very polite and a nice person. No hastles with parking and for any issues they reply very quickly.
19363284,207189818,2017-10-28,23005441,Heverton,Amazing place Perry was very accessible and helpful. The communication was very easy. Checkin and Checkout quickly and easy and perfect location!
