"","country","year","column","cases"
"1","AD",2000,"m014",0
"2","AD",2000,"m1524",0
"3","AD",2000,"m2534",1
"4","AD",2000,"m3544",0
"5","AD",2000,"m4554",0
"6","AD",2000,"m5564",0
"7","AD",2000,"m65",0
"8","AE",2000,"m014",2
"9","AE",2000,"m1524",4
"10","AE",2000,"m2534",4
"11","AE",2000,"m3544",6
"12","AE",2000,"m4554",5
"13","AE",2000,"m5564",12
"14","AE",2000,"m65",10
"15","AE",2000,"f014",3
"16","AE",2000,"f1524",16
"17","AE",2000,"f2534",1
"18","AE",2000,"f3544",3
"19","AE",2000,"f4554",0
"20","AE",2000,"f5564",0
"21","AE",2000,"f65",4
"22","AF",2000,"m014",52
"23","AF",2000,"m1524",228
"24","AF",2000,"m2534",183
"25","AF",2000,"m3544",149
"26","AF",2000,"m4554",129
"27","AF",2000,"m5564",94
"28","AF",2000,"m65",80
"29","AF",2000,"f014",93
"30","AF",2000,"f1524",414
"31","AF",2000,"f2534",565
"32","AF",2000,"f3544",339
"33","AF",2000,"f4554",205
"34","AF",2000,"f5564",99
"35","AF",2000,"f65",36
"36","AG",2000,"m014",0
"37","AG",2000,"m1524",0
"38","AG",2000,"m2534",0
"39","AG",2000,"m3544",0
"40","AG",2000,"m4554",0
"41","AG",2000,"m5564",0
"42","AG",2000,"m65",1
"43","AG",2000,"f014",1
"44","AG",2000,"f1524",1
"45","AG",2000,"f2534",1
"46","AG",2000,"f3544",0
"47","AG",2000,"f4554",0
"48","AG",2000,"f5564",0
"49","AG",2000,"f65",0
"50","AL",2000,"m014",2
"51","AL",2000,"m1524",19
"52","AL",2000,"m2534",21
"53","AL",2000,"m3544",14
"54","AL",2000,"m4554",24
"55","AL",2000,"m5564",19
"56","AL",2000,"m65",16
"57","AL",2000,"f014",3
"58","AL",2000,"f1524",11
"59","AL",2000,"f2534",10
"60","AL",2000,"f3544",8
"61","AL",2000,"f4554",8
"62","AL",2000,"f5564",5
"63","AL",2000,"f65",11
"64","AM",2000,"m014",2
"65","AM",2000,"m1524",152
"66","AM",2000,"m2534",130
"67","AM",2000,"m3544",131
"68","AM",2000,"m4554",63
"69","AM",2000,"m5564",26
"70","AM",2000,"m65",21
"71","AM",2000,"f014",1
"72","AM",2000,"f1524",24
"73","AM",2000,"f2534",27
"74","AM",2000,"f3544",24
"75","AM",2000,"f4554",8
"76","AM",2000,"f5564",8
"77","AM",2000,"f65",4
"78","AN",2000,"m014",0
"79","AN",2000,"m1524",0
"80","AN",2000,"m2534",1
"81","AN",2000,"m3544",2
"82","AN",2000,"m4554",0
"83","AN",2000,"m5564",0
"84","AN",2000,"m65",0
"85","AN",2000,"f014",0
"86","AN",2000,"f1524",0
"87","AN",2000,"f2534",1
"88","AN",2000,"f3544",0
"89","AN",2000,"f4554",0
"90","AN",2000,"f5564",1
"91","AN",2000,"f65",0
"92","AO",2000,"m014",186
"93","AO",2000,"m1524",999
"94","AO",2000,"m2534",1003
"95","AO",2000,"m3544",912
"96","AO",2000,"m4554",482
"97","AO",2000,"m5564",312
"98","AO",2000,"m65",194
"99","AO",2000,"f014",247
"100","AO",2000,"f1524",1142
"101","AO",2000,"f2534",1091
"102","AO",2000,"f3544",844
"103","AO",2000,"f4554",417
"104","AO",2000,"f5564",200
"105","AO",2000,"f65",120
"106","AR",2000,"m014",97
"107","AR",2000,"m1524",278
"108","AR",2000,"m2534",594
"109","AR",2000,"m3544",402
"110","AR",2000,"m4554",419
"111","AR",2000,"m5564",368
"112","AR",2000,"m65",330
"113","AR",2000,"f014",121
"114","AR",2000,"f1524",544
"115","AR",2000,"f2534",479
"116","AR",2000,"f3544",262
"117","AR",2000,"f4554",230
"118","AR",2000,"f5564",179
"119","AR",2000,"f65",216
"120","AS",2000,"m4554",1
"121","AS",2000,"m5564",1
"122","AS",2000,"f4554",1
"123","AT",2000,"m014",1
"124","AT",2000,"m1524",17
"125","AT",2000,"m2534",30
"126","AT",2000,"m3544",59
"127","AT",2000,"m4554",42
"128","AT",2000,"m5564",23
"129","AT",2000,"m65",41
"130","AT",2000,"f014",1
"131","AT",2000,"f1524",11
"132","AT",2000,"f2534",22
"133","AT",2000,"f3544",12
"134","AT",2000,"f4554",11
"135","AT",2000,"f5564",6
"136","AT",2000,"f65",22
"137","AU",2000,"m014",3
"138","AU",2000,"m1524",16
"139","AU",2000,"m2534",35
"140","AU",2000,"m3544",25
"141","AU",2000,"m4554",24
"142","AU",2000,"m5564",19
"143","AU",2000,"m65",49
"144","AU",2000,"f014",0
"145","AU",2000,"f1524",15
