Country,"Fertility rate (births/woman)","Life expectancy at birth (years)",GDP (USD),Population density (people/km2),GDP per capita growth (%/yr),Income per capita (USD),CO2 emissions (tons per capita)
Qatar,2.07,79.108,125122306346.154,159.890353144,6.618784875,41865.062794810,39.059708230
Cameroon,5.111,55.101,26143818509.6421,43.031120560,0.619379565,1059.839635647,0.333326910
Ethiopia,5.136,61.627,29933790334.3418,87.639964,9.460597148,259.077562479,0.075147589
Mauritania,4.98,62.527,4337794152.82681,3.390118366,1.751621384,836.635449255,0.640167478
Saudi Arabia,2.97,73.917,528207200000,12.756007145,2.008917159,15762.798652057,18.908248470
Mexico,2.34,75.065,1057801295584.05,58.691305332,3.617189436,7362.916552213,4.069560416
Cambodia,2.875,66.56,11242275198.9783,81.079832314,4.344574274,660.406992166,0.350245580
Slovak Republic,1.43,75.112195122,90183986821.6439,112.108874644,5.622368091,12941.002701749,6.721959562
Iceland,2.2,81.897560976,13683689802.2771,3.172478803,-3.296819378,,6.168528586
United States,1.931,78.541463415,14992052727000,33.815664417,1.716748160,40911.957173011,17.442861713
Ukraine,1.443,70.265365854,136013155905.036,79.180245805,4.247726915,2423.991732399,6.641349685
Central Europe and the Baltics,1.465227979,75.293965779,1313429192814.02,94.570749580,1.964768325,10044.947493349,6.828033565
Turkmenistan,2.833,66.657,22583157894.7368,10.825469751,7.498659234,3029.296148651,11.261478731
Gibraltar,,,,3358.5,,,13.866577341
Georgia,1.911,71.46,12243505582.6741,66.249606354,7.027385348,2629.749165031,1.667568685
Trinidad and Tobago,1.806,71.946,22157948396.2042,258.898050682,2.761778039,12174.539840056,36.091655517
Mozambique,5.392,52.31,11087646867.9421,29.923922277,3.606129559,356.200999308,0.116251552
Caribbean small states,2.153183923,72.679394768,63277133287.3134,17.224171916,0.556907217,7339.923081214,9.291597437
Bangladesh,2.324,69.881,115279077465.226,1133.713067527,4.390980367,771.853781928,0.406145623
"Yemen, Rep.",4.674,65.549,30906749533.221,43.856383885,4.732881651,1005.931368559,1.011974810
Nepal,2.542,67.611,16002656434.4746,188.442357865,4.313243158,550.736959071,0.187197028
El Salvador,2.265,71.21,18448000000,298.449565637,1.671866786,2684.767313410,1.044262214
"Micronesia, Fed. Sts.",3.46,66.471,296944122.022674,147.015714286,2.322968393,,1.104614667
Pacific island small states,3.571277250,68.485250420,6434900058.15315,34.494065421,1.612058341,2497.840374469,1.096199220
Australia,1.928,81.695121951,1146138465603.81,2.867858584,0.492100956,39980.772994619,17.740845053
Puerto Rico,1.6235,78.419097561,98381300000,419.563134160,0.092102072,,
North America,1.900119253,78.809456356,16611339953589.4,18.825524873,1.737361018,40675.720027807,17.271050788
Greece,1.48,80.387804878,299361576558.217,86.278828549,-5.600777661,21801.277709965,7.540183868
Nauru,,,49235796.7057166,500.25,12.801765850,,4.398200900
Uzbekistan,2.342,69.672,46679875793.5724,67.142454161,4.602330394,1177.694674217,3.647048882
Eritrea,4.571,62.193,2117039512.19512,31.390445545,0.565915707,587.996624518,0.161927307
St. Lucia,1.538,74.852,1399203481.48148,285.385245902,-0.770176226,6631.366645089,2.317086481
Niger,7.473,57.333,5718664504.91341,12.997572432,4.277583547,303.727248206,0.071272972
Guyana,2.655,68.059,2273225041.96217,3.807142494,3.899838089,2660.477005074,2.294823040
Singapore,1.15,81.541463415,239809387605.427,7231.812280196,12.514314937,40099.666118537,10.960408783
Arab World,3.470383880,70.349916226,2110267956841.91,31.594020666,2.330118683,4792.279064918,4.636813439
St. Kitts and Nevis,,,760170370.37037,188.523076923,-3.762409698,,4.488738371
