tweet-id,tweet-text,tweet-author,tweet-timestamp,tweet-timestamp-date
1,Unhappy with restrictions placed on your self-driving car? Please tweet your displeasure from your perfectly functioning Apple device.,Bored Elon Musk,1.48E+12,10/27/16 1:35
2,Service that lets you subscribe sales people to 1000 email lists they never asked to be on.,Bored Elon Musk,1.48E+12,10/26/16 15:22
3,Sorry about the outage. I needed to temporarily borrow everyone's computing power to run some complex equations related to space stuff.,Bored Elon Musk,1.48E+12,10/21/16 21:13
4,"2000: GPS technology becomes available in vehicles.
2016: You can look that stat up while your car drives you to Costco.",Bored Elon Musk,1.48E+12,10/20/16 15:08
5,Trash can that analyzes and reports back on all the uneaten food you've thrown away so you'll finally stop buying cucumbers.,Bored Elon Musk,1.48E+12,10/19/16 18:48
6,"Our biggest challenges do not require finding solutions, it's implementing them.",Bored Elon Musk,1.48E+12,10/14/16 15:50
7,Criticism is often the quickest and laziest path towards displaying one's intelligence.,Bored Elon Musk,1.48E+12,10/13/16 14:58
8,What the electoral map would look like if only Trump's twitter supporters voted.pic.twitter.com/tNQn15QkGb,Bored Elon Musk,1.48E+12,10/12/16 20:52
9,TVs that rotate 90 degrees when a vertical video clip from the internet is being played.,Bored Elon Musk,1.48E+12,10/12/16 3:44
10,In honor of Columbus Day I just discovered Mars!,Bored Elon Musk,1.48E+12,10/10/16 16:49
11,Our simulation is way overdue for a patch.,Bored Elon Musk,1.48E+12,10/10/16 1:19
12,Who will Wikileaks the Wikileaks?,Bored Elon Musk,1.48E+12,10/9/16 2:13
13,Food delivery service that intercepts you before going grocery shopping on an empty stomach and buying half the store.,Bored Elon Musk,1.48E+12,10/6/16 0:57
14,"Was going to build a working space elevator today but instead spent the time following an ""appropriate"" ratio of people on twitter. Sorry.",Bored Elon Musk,1.48E+12,10/5/16 21:31
15,If I got a dime for every time I forgot my Yahoo login I could have bought Yahoo.,Bored Elon Musk,1.48E+12,10/4/16 15:49
16,Shoulder tapping drone you can send over to a coworker who needs to answer your email faster.pic.twitter.com/uBITjSY1Ne,Bored Elon Musk,1.48E+12,9/30/16 17:54
17,The only debate you should be concerned with now is window or aisle seat to Mars.,Bored Elon Musk,1.48E+12,9/27/16 19:11
18,Coffee machine that's connected to your email that brews strength based on how many unreads you have.,Bored Elon Musk,1.47E+12,9/26/16 17:14
19,Insanity: Posting the same thing over and over again on Facebook and expecting people to change their minds.,Bored Elon Musk,1.47E+12,9/26/16 15:22
20,The best thing you can do for your country and your sanity tonight: read a book.,Bored Elon Musk,1.47E+12,9/26/16 15:04
21,"1286: Eyeglasses invented in Italy to help nearsighted people.
2016: Spectacles invented in LA to help shortsighted people.",Bored Elon Musk,1.47E+12,9/24/16 14:26
22,"An HR tool that automatically fires any employee who likes, shares, or creates an inspirational LinkedIn meme.",Bored Elon Musk,1.47E+12,9/20/16 20:41
23,Electric zapper that prevents anyone from crowding around and blocking the boarding gate until their group is called.,Bored Elon Musk,1.47E+12,9/14/16 20:51
24,"Questions your grandkids will ask:
What was traffic?
What were screens?
You elected Presidents HOW?!",Bored Elon Musk,1.47E+12,9/14/16 19:43
25,Two simulcasts for each NFL game during the national anthem so you can watch whichever players align with your personal politics.,Bored Elon Musk,1.47E+12,9/11/16 15:28
26,Hologram that walks in front of you on the sidewalk to distract the street team of charity workers while you sneak by.,Bored Elon Musk,1.47E+12,9/10/16 18:41
27,App that keeps track of fly location while you run off to get the swatter.,Bored Elon Musk,1.47E+12,9/9/16 21:30
28,Building a rocket that can go to Mars also requires courage.,Bored Elon Musk,1.47E+12,9/7/16 18:28
29,Minority Report Food Delivery.,Bored Elon Musk,1.47E+12,9/6/16 19:35
30,App that knows not to schedule meetings with people you still owe an overdue email or voicemail response to.,Bored Elon Musk,1.47E+12,9/6/16 18:34
31,Sometimes you need to remind people that rocket science is rocket science.,Bored Elon Musk,1.47E+12,9/1/16 15:43
32,Perforated egg carton that lets you tear off each row that no longer contains eggs.pic.twitter.com/0bQkdqcMIZ,Bored Elon Musk,1.47E+12,8/30/16 15:58
33,"If it makes you feel any better, Gene Wilder is still alive in multiple other timelines.",Bored Elon Musk,1.47E+12,8/29/16 19:38
34,Vacuum sealing kitchen cabinets that prevent your open cereal boxes from going stale.,Bored Elon Musk,1.47E+12,8/28/16 23:23
35,Whoops you guys weren't supposed to see that other Earthlike planet yet. Well. Umm. Surprise!!,Bored Elon Musk,1.47E+12,8/25/16 23:43
36,"Thinking about switching the speedometers from numbers to a simple range of ""light whiplash"" to ""clean break.""",Bored Elon Musk,1.47E+12,8/24/16 1:42
37,Pants that switch keys to pocket on the other side when they recognize you're holding a million grocery bags in the wrong hand.,Bored Elon Musk,1.47E+12,8/21/16 23:58
38,"A game show called ""is typing"" where contestants guess what someone is about to respond with on @SlackHQ.",Bored Elon Musk,1.47E+12,8/18/16 18:42
39,Feature on Facebook that lets you hover over a last name to see what it used to be before marriage so you can remember who that person is.,Bored Elon Musk,1.47E+12,8/16/16 21:16
40,"Vertical ""Lazy Susan"" that lets you remotely transfer meat from freezer to fridge for defrosting.pic.twitter.com/6Q3rehegFa",Bored Elon Musk,1.47E+12,8/16/16 17:43
