tweet-id,tweet-text,tweet-author,tweet-timestamp,tweet-timestamp-date
1,Bautista gets stiffed by the umpires... http://twitdoc.com/6MEP,Don Cherry,1.48E+12,10/17/16 13:08
2,"3) MVP” when he comes to the plate at home and more importantly, you fans attending the games on the road, lets hear “MVP"" because he is.",Don Cherry,1.48E+12,10/10/16 13:21
3,2) winning run after having a clutch double in the 10th. He is without a doubt the MVP of the playoffs so far. Lets hear from the crowd “MVP,Don Cherry,1.48E+12,10/10/16 13:19
4,"1) Hey, the bandwagon is full. Josh Donaldson’s bare handed put out last night border’s on the unbelievable and to take a chance on the",Don Cherry,1.48E+12,10/10/16 13:18
5,Show your support for Bill C-246https://www.youtube.com/watch?v=NqF-y0fIXXk …,Don Cherry,1.48E+12,9/29/16 19:50
6,The criticizing of Team USA is unfair... http://twitdoc.com/6GYX,Don Cherry,1.47E+12,9/19/16 23:04
7,Went by a fire station earlier today... http://twitdoc.com/6FFS,Don Cherry,1.47E+12,9/11/16 19:23
8,Saw some great hockey last night... http://twitdoc.com/6F36,Don Cherry,1.47E+12,9/8/16 16:50
9,God Bless John Tortorella... http://twitdoc.com/6F2B,Don Cherry,1.47E+12,9/8/16 13:40
10,I see Kaepernick decided to donate 1 million of his 12 million dollar salary this season to charity. That's a step in the right direction.,Don Cherry,1.47E+12,9/6/16 17:59
11,More on the Colin Kaepernick stance... http://twitdoc.com/6EJ8,Don Cherry,1.47E+12,9/6/16 17:49
12,My thoughts on the Colin Kaepernick controversy... http://twitdoc.com/6D99,Don Cherry,1.47E+12,8/30/16 16:33
13,2) their 5 days rest. Sometimes you think too much!,Don Cherry,1.47E+12,8/30/16 15:31
14,"1) I wonder what goes thru the minds of the Blue Jays brass when they see Estrada pitch a beauty on 4 days rest which he is used to, not",Don Cherry,1.47E+12,8/30/16 15:31
15,A few thoughts on the Jays from this past weekend... http://twitdoc.com/6D02,Don Cherry,1.47E+12,8/29/16 15:05
16,4) thought that was funny and had a good chuckle.,Don Cherry,1.47E+12,8/21/16 13:42
17,3) boys on my club. Men win hockey games. I don’t want boys.”  And then he ended the speech with “ok boys lets go out and get em!” I always,Don Cherry,1.47E+12,8/21/16 13:41
18,"2) time Claude Ruel when he was the coach of the Montreal Canadiens in his speech before the game said “I want men on my club, I don’t want",Don Cherry,1.47E+12,8/21/16 13:41
19,1) I see where some people are upset that our women’s soccer team have been called girls. Some people should get a life. Reminds me of the,Don Cherry,1.47E+12,8/21/16 13:40
20,"5) threw it. Two winners, just like Josh they hate to lose.",Don Cherry,1.47E+12,8/18/16 21:41
21,"4)  throw it and how about Wayne Gretzky in LA. You remember, that one, he was on for an overtime goal, smashed his stick over the net then",Don Cherry,1.47E+12,8/18/16 21:41
22,"3) and too low after a loss. Bobby Orr the greatest hockey player who ever lived. I saw him get kicked out of a game, smash his stick and",Don Cherry,1.47E+12,8/18/16 21:41
23,2) guys when they strike out and walk back like ho-hum just another day at the office. I hate those guys that never get too high after a win,Don Cherry,1.47E+12,8/18/16 21:40
24,1) Don’t you just love MVP Josh Donaldson. He strikes out and smashes his bat next to Gibbons. He hates to lose. Not like some of those,Don Cherry,1.47E+12,8/18/16 21:40
25,My thoughts on the Tenors performance at the MLB All Star Game. http://twitdoc.com/63YI,Don Cherry,1.47E+12,7/13/16 13:20
26,Matt Martin... one of the best signings of the day... http://twitdoc.com/61R4,Don Cherry,1.47E+12,7/2/16 1:49
27,Hanging out with some of my all time favouritespic.twitter.com/IlGm6ManzF,Don Cherry,1.47E+12,7/1/16 17:37
28,Happy Canada Day! Enjoyed my time on Blue Jays Central with @GreggZaun and @SNETCampbellpic.twitter.com/NL4liGTQpy,Don Cherry,1.47E+12,7/1/16 17:05
29,My thoughts on today's NHL trades and Stamkos staying put in Tampa. http://twitdoc.com/619Q,Don Cherry,1.47E+12,6/29/16 22:38
30,Here's a few more thoughts on the Leafs and the draft as well as Stamkos http://twitdoc.com/60GJ,Don Cherry,1.47E+12,6/26/16 19:09
31,Just a few thoughts on the Leafs draft... http://twitdoc.com/60G9,Don Cherry,1.47E+12,6/26/16 14:48
32,4) And now the draft? Are you kidding me? It will be interesting to see how they do this winter.,Don Cherry,1.47E+12,6/25/16 12:09
33,"3) Gudbranson, 6’5” 230 pounds a tough stay at home defenceman which everybody’s looking for. He’s great in the room, future captain….",Don Cherry,1.47E+12,6/25/16 12:08
34,"2) Now, all the changes, Why? Nobody understands it. Rest assured Dale had nothing to do with Gudbranson going to Vancouver.",Don Cherry,1.47E+12,6/25/16 12:08
35,1) I feel kind of sad when I look at the Florida Panthers and all the new guys. What a super job Dale Tallon did putting that team together.,Don Cherry,1.47E+12,6/25/16 12:08
