tweet-id,tweet-text,tweet-author,tweet-timestamp,tweet-timestamp-date
1,"I never roll a critical fail, because I always turned a critical fail into a success.

#DnD #AlwaysWinningpic.twitter.com/dUPOMGQW5F",Dungeons And Donalds,1.48E+12,10/26/16 22:00
2,Did you hear? Biden wants to have our characters fight. My character.  I’d love that. I’d love that. Mr. Tough Barbarian. #MrToughBarbarian,Dungeons And Donalds,1.48E+12,10/26/16 15:55
3,"DUNGEONS AND DRAGONS!!!
#DungeonsAndDragonsInThreeWords",Dungeons And Donalds,1.48E+12,10/25/16 23:07
4,"My contract with the D&D player will restore honesty, accountability & CHANGE to Dungeons and Dragons! #ClearTheDungeonpic.twitter.com/io6IKlhOK6",Dungeons And Donalds,1477424063000,10/25/16 19:34
5,"We want experience points, we want +1 swords. But we will probably cut 70 to 80 percent of the D&D game rules, OK? Immaculate, clean rules.pic.twitter.com/1mGVsmSCau",Dungeons And Donalds,1.48E+12,10/24/16 21:11
6,"All Michelle wants to do is D&D campaigns. Wasnt she the one who originally stated: If you can't run your own house, you can't run dungeons?",Dungeons And Donalds,1477153259000,10/22/16 16:20
7,"The results are in after having my character explore my dungeon and it is almost unanimous, I WON! Thank you, these are very exciting times.",Dungeons And Donalds,1.48E+12,10/21/16 22:08
8,"Hillary believes she can deceive players w/ different public & private info. So, here she is tonight, in public, pretending not to hate D&D.pic.twitter.com/Jp1E7m5r6Z",Dungeons And Donalds,1.48E+12,10/21/16 16:40
9,"I would like to promise & pledge, to all the players, that I'll totally accept the results of this great & historic D&D campaign. If I win.",Dungeons And Donalds,1.48E+12,10/20/16 18:05
10,"She comes out & says ""we love our players!"" Well, it's awfully hard to get them to pay up when you have someone saying how good they are.",Dungeons And Donalds,1.48E+12,10/20/16 16:21
11,"You’re the NPC, Gary! You’re the NPC!

Such a nasty player.

#debatepic.twitter.com/ADZmtA1DOB",Dungeons And Donalds,1.48E+12,10/20/16 15:50
12,Will I accept the dice roll? I will tell you at the time. I will keep you in suspense.,Dungeons And Donalds,1.48E+12,10/20/16 2:53
13,There's tremendous fraud. So many D&D groups are corrupt & dice fraud is all too common. People are going to roll 10 times maybe. Who knows?,Dungeons And Donalds,1.48E+12,10/19/16 17:46
14,I am going to re-institute a 5-year ban on all Dungeon Masters playing as characters for 5 years after they finish running a campaign. #DnDpic.twitter.com/dAlKFaJuUp,Dungeons And Donalds,1.48E+12,10/18/16 20:10
15,"I will Make Our Dungeons & Dragons Honest Again - believe me. But first, I'm going to have to #ClearTheDungeon b/c even monsters are rigged.",Dungeons And Donalds,1.48E+12,10/18/16 15:53
16,"Wow, released page by Wikileakes shows ""fudged results"" in Crooked Hillary's Dungeon Master's Guide. Paul Ryan does zilch! So naive! #DnDpic.twitter.com/ixYgPLQHPG",Dungeons And Donalds,1.48E+12,10/18/16 5:09
17,"We have all got to come together and win this quest! We can't have four more levels of this Dungeon (or worse)!

#ProbablyStillRiggedThough",Dungeons And Donalds,1.48E+12,10/17/16 19:36
18,D&D game system is broken. The rules are rigged. Campaign is rigged. Mechanical pencil & dice rolls are rigged. Players are liars & frauds.,Dungeons And Donalds,1.48E+12,10/17/16 15:40
19,"This whole game is being rigged by @Wizards_DnD pushing fabricated monsters & outright lies, in order to make Hillary look like a good DM!pic.twitter.com/LvAnMwY5GI",Dungeons And Donalds,1.48E+12,10/15/16 18:17
20,"The rolls are showing us in a dead heat. Don't believe her dice. A new highly respected dice just got rolled, shows us 2 higher. #DnDpic.twitter.com/UMvgiDzvNg",Dungeons And Donalds,1.48E+12,10/14/16 16:08
21,"You used to roll attacks & it was incredible to play. Now they roll -""Oh, 15pts damage""- the whole game's all screwed up. D&D's become soft.",Dungeons And Donalds,1.48E+12,10/13/16 19:17
22,"If I don’t win this campaign, D&D will be the greatest waste of time, money and energy in my lifetime, by a factor of 100. #DnD",Dungeons And Donalds,1.48E+12,10/12/16 15:36
23,"Despite clearing the second dungeon level (every room), it is hard to do well when Paul Ryan and other players give zero support! #DnD",Dungeons And Donalds,1.48E+12,10/11/16 21:56
24,Disloyal players are far more difficult than monsters. They attack you from all sides. They don’t know how to win at D&D -I will teach them!pic.twitter.com/byNKH74VD2,Dungeons And Donalds,1476210849000,10/11/16 18:34
25,It is so nice that the shackles of D&D rules have been taken off me and I can now fight through the type of Dungeon I want.pic.twitter.com/FYFWQBnPyn,Dungeons And Donalds,1.48E+12,10/11/16 16:13
26,"Paul Ryan should spend more time killing orcs, getting experience & collecting gold and not waste his time on fighting his Dungeon Master.",Dungeons And Donalds,1476121491000,10/10/16 17:44
27,"We have player announcements: ""We will be attacking"" & they roll initative. Why can’t they make it a sneak attack? How stupid is our party?",Dungeons And Donalds,1476073822000,10/10/16 4:30
28,"Her character's a Fighter. I disagree w/ much her stats. But she fights hard, has a high Constitution & I consider it to be a good attributepic.twitter.com/rKpnltG2e4",Dungeons And Donalds,1476072659000,10/10/16 4:10
29,"The non-gamers and WOTC want me to end the campaign so badly -  I WILL NEVER END THE QUEST, WILL NEVER LET MY PLAYERS DOWN! #MDnDGA",Dungeons And Donalds,1.48E+12,10/9/16 5:15
30,This was kitchen table banter. Bill Clinton's D&D campaign was far worse - not even close.,Dungeons And Donalds,1475986859000,10/9/16 4:20
31,"This was a Total Party Kill in a private campaign I was Dungeon Master for, that took place years ago. I apologize if anyone was offended.",Dungeons And Donalds,1.48E+12,10/8/16 17:18
