tweet-id,tweet-text,tweet-author,tweet-timestamp,tweet-timestamp-date
1,Newt has some nerve.http://qklnk.co/0VdY6Z,George Takei,1.48E+12,10/26/16 20:07
2,It's plain that my Twitter feed is RIGGED. Very biased against Drumpf. Highly unfair.,George Takei,1.48E+12,10/26/16 18:38
3,"People ask why I only tweet criticisms of Drumpf. ""Why don't you go after Hillary?!"" they cry. Well, it's simple. I really want her to win.",George Takei,1.48E+12,10/26/16 18:32
4,My legacy project Allegiance is screening in 610 cinemas on Dec 13. Don't miss it! Some theaters already sold out.http://allegiancemusical.com/movie,George Takei,1.48E+12,10/26/16 17:26
5,"I made this recording with the folks from @CardsAgainstHUM. Let's not forget the past, or repeat its mistakes.https://www.youtube.com/watch?v=uTMmp4JBv-w …",George Takei,1.48E+12,10/26/16 16:54
6,"A very happy 69th birthday to Madam Secretary, Hillary Clinton. We're near the finish line, Hills. Take us home.",George Takei,1.48E+12,10/26/16 15:35
7,Tim Tebow says he'd consider running for office. Right. And I'm thinking about trying out for the NFL.,George Takei,1.48E+12,10/26/16 13:53
8,Beware this scam.http://qklnk.co/6BtTxt,George Takei,1.48E+12,10/26/16 12:53
9,Tix for Allegiance are on sale! Some theaters have already sold out. Don't miss your chance to see this on Dec 13: http://fathomevents.com/event/allegiance/buy …,George Takei,1.48E+12,10/26/16 11:12
10,I hope someone in Washington does sonething about this travesty.http://qklnk.co/d9l7Ai,George Takei,1.48E+12,10/25/16 21:54
11,Too many voters buy the lies: Obama's a Muslim. Global warming's a hoax. There's massive election fraud. To save the USA the lies must stop.,George Takei,1.48E+12,10/25/16 16:44
12,"Oh, Twitter. You are merciless.http://qklnk.co/UeDS5u",George Takei,1.48E+12,10/25/16 14:19
13,Turns out Hillary's sessions getting ready for the debates had a secret code name: Preparation H.,George Takei,1.48E+12,10/25/16 12:59
14,Mosquitoes drink blood to survive. Without it they'd die. Ever think about that? No. Of course not. You only think about yourself. Sheesh.,George Takei,1.48E+12,10/25/16 12:08
15,On your marks.pic.twitter.com/XqkzyMNwLT,George Takei,1.48E+12,10/25/16 1:34
16,"Oh myyy. Tix go on sale in 2 days on Oct 26 for Allegiance, in 610 U.S. cinemas on Dec 13. Is it playing near you?http://allegiancemusical.com/article/film-theater-locations/#8BW4jUxXlLFZWExu.97 …",George Takei,1.48E+12,10/24/16 19:26
17,"When Utah becomes a ""toss-up"" state and Texas is within the margin of error, the GOP has a real problem. And we know what his name is.",George Takei,1.48E+12,10/24/16 18:09
18,"Way to inspire America, Mr. Drumpf. And also, is it wise for you to keep reminding voters of this issue? #Implodinghttp://qklnk.co/eLqKqy",George Takei,1.48E+12,10/24/16 15:53
19,Apparently Patrick Stewart's Twitter was hacked. That security breach doesn't sound like him. I suspect it was Locutus of Borg.,George Takei,1.48E+12,10/24/16 14:35
20,"These are pretty damned funny. Well done, Internet. #TrumpBookReporthttp://qklnk.co/56Qx0w",George Takei,1.48E+12,10/24/16 14:25
21,Your horoscope for the day. And the year. And your life.pic.twitter.com/1WrxtnlARb,George Takei,1.48E+12,10/24/16 12:08
22,Then it Donned on Him...pic.twitter.com/Dw7AxoxCwX,George Takei,1.48E+12,10/24/16 3:32
23,"When you find yourself fuming mad at a partner, family member or friend, begin by remembering: Only those we love can make us that upset.",George Takei,1.48E+12,10/24/16 2:13
24,"Don't worry whether you yourself are happy. Strive to make others happy. Expect nothing in return. Your own happiness will come, on its own.",George Takei,1.48E+12,10/23/16 21:17
25,Tired of hearing about her damn emails? I suggest you become INFORMED.https://medium.com/the-curious-civilian/admit-it-the-clinton-email-controversy-bothers-you-yet-you-dont-actually-know-what-the-clinton-511dc1659eda#.guqflrptu …,George Takei,1.48E+12,10/23/16 20:06
26,"I hate to stereotype, but her hair already looks like it belongs to an era before ""the homosexuals.""
http://www.rawstory.com/2016/10/trump-supporter-tells-cbs-he-will-make-america-great-again-like-it-was-before-the-homosexuals/ …",George Takei,1.48E+12,10/23/16 17:46
27,"Voters face two hurdles on Nov 8: Democratic complacency and GOP despondency. Ironically, the deeper a hole Trump digs, the worse both get.",George Takei,1.48E+12,10/23/16 17:13
28,"Trump supporters, well intentioned as you are, please repeat after me:  ""It's not rigged, he's just losing.""",George Takei,1.48E+12,10/23/16 15:00
29,"Happy Opening to @allegiancebway director @StaffordArima who debuts Gurney's ""Two Class Acts"" at @TheFleaTheater.http://www.nytimes.com/2016/10/23/theater/two-a-r-gurney-one-acts-at-the-flea-theater.html …",George Takei,1.48E+12,10/23/16 14:41
30,I'm frankly petrified.https://twitter.com/StephenKing/status/789505900604260352 …,George Takei,1.48E+12,10/23/16 14:38
31,"Oh, SNL. You served it up so well. Tom Hanks and Alec and Kate, bravo! https://youtu.be/oCH77TPOwks  via @YouTube",George Takei,1.48E+12,10/23/16 13:07
32,"Eric Trump spotted with lemonade in the free plastic cup at In-N-Out in NV. So very Trump--thinks he's made of gold but cheap, cheap, cheap.",George Takei,1.48E+12,10/22/16 22:21
33,"Trump had the audacity to go to Gettysburg to give a speech, claiming the system is rigged against him. From Lincoln to Trump. Wow. RIP GOP.",George Takei,1.48E+12,10/22/16 21:58
34,Trump properties are scrambling to get his name off of buildings. GOP leaders sure wish they could do the same with ballots.,George Takei,1.48E+12,10/22/16 18:31
35,"Trump looks forward to his first 100 days, vowing to use his power to sue his women accusers. Way to inspire America, Donald.",George Takei,1.48E+12,10/22/16 17:43
36,My show Allegiance will be showing in 610 cinemas across America on Dec 13th. Is one nearby you? Check the list!http://allegiancemusical.com/article/film-theater-locations/ …,George Takei,1.48E+12,10/22/16 13:18
37,"Trump blamed Hillary when Twitter went offline today, noting that somehow only HIS tweets still sounded crazy once service was restored.",George Takei,1.48E+12,10/21/16 21:01
38,"If you missed the Al Smith roast with the candidates, it was a bit of a trainwreck. Can't we have anything nice?!http://qklnk.co/znwwpz",George Takei,1.48E+12,10/21/16 15:34
39,Oh myyy.http://qklnk.co/DU6pOU,George Takei,1.48E+12,10/21/16 14:32
40,"I usually disagree with Senator McCain, but not with this: ""I didn’t like the outcome of the 2008 election. But I had a duty to concede.""",George Takei,1.48E+12,10/21/16 12:27
41,"Maybe, Donald, because it NEVER. HAPPENED....except in your bizarre little mind, which seems ever ready to make excuses for your failures.https://twitter.com/realdonaldtrump/status/789117930801926148 …",George Takei,1.48E+12,10/21/16 3:15
42,"Jim Murphy, Trump's Nat'l Political Director, has ""stepped back"" from campaign duties. Must be all that winning, hard for anyone to handle.",George Takei,1.48E+12,10/20/16 23:22
