tweet-id,tweet-text,tweet-author,tweet-timestamp,tweet-timestamp-date
1,@nenshi challenge - 3 Gifts of Service - info here http://www.threethingsforcanada.ca  @CRRF #CRRF2016 #FaithProject #canada150,mixedbagmag,1.48E+12,10/26/16 18:37
2,Great to join this panel by webcast with students from across Canada! Thanks to moderator @UrbanNativeGirl!https://twitter.com/nfb_education/status/791332965322223620 …,Naheed Nenshi,1.48E+12,10/26/16 17:45
3,"We as people of faith, have so much more to unite us than that divides us. Said by his worship @nenshi. #Faithproject #CRRF2016",NFB Education,1.48E+12,10/26/16 17:41
4,"Welcome to his worship @nenshi, Mayor of Calgary, for participating in our virtual classroom today. #Faithproject #CRRF2016",NFB Education,1.48E+12,10/26/16 17:36
5,"Well, that was fun! Have a wonderful #weday everyone and don't forget your #3thingsforcanada!… https://www.instagram.com/p/BMCCddjj5I6/",Naheed Nenshi,1.48E+12,10/26/16 15:52
6,I'm reading it now!https://twitter.com/tonyseskus/status/791091491410108416 …,Naheed Nenshi,1.48E+12,10/26/16 5:06
7,Thanks for coming and congrats on the new commission!https://twitter.com/comd41cbg/status/791036503623278592 …,Naheed Nenshi,1.48E+12,10/26/16 4:58
8,An anonymous Calgarian has stepped forward to replace this bike. We still want to find it but way to go #yyc I am proud of my city @nenshihttps://twitter.com/yyc_jon/status/790339814503485441 …,Jon Bateman,1.48E+12,10/25/16 22:53
9,@nenshi - Missing 1 yr old grey/orange tabby/tortie cat with orange rt front paw. Last seen Midnapore wearing purple collar. Pls share #yycpic.twitter.com/HGjz5tJZ7B,Sandy,1.48E+12,10/25/16 21:48
10,A touching story of poverty from Mayor Nenshi. I don't think people know this about him https://youtu.be/3Q7p8FyJad0  http://www.enoughforall.ca,Daorcey Le Bray,1.48E+12,10/25/16 17:51
11,.@nenshi has been such a great leader in #enoughforall. Thank you Naheed in helping build a city where everyone is included. #yyccc,Brian Pincott,1.48E+12,10/25/16 16:33
12,She wins.https://twitter.com/everettbreanne/status/790782475429523456 …,Naheed Nenshi,1.48E+12,10/25/16 16:20
13,"127,000 Calgarians live in poverty. That's 1 in 10.
Let's work together to raise awareness #enoughforall http://www.enoughforall.ca  @nenshipic.twitter.com/Q22u1iiljd",Food On Your Shirt,1.48E+12,10/25/16 16:05
14,"Naheed Nenshi, mayor of Calgary, giving an inspiring talk about transportation innovation in Calgary @nenshi #yyc #acamppic.twitter.com/Un8hqEV0n9",Apparel Innovation,1.48E+12,10/25/16 15:15
15,Totally redundant.https://twitter.com/hollythorne14/status/790757505324290048 …,Naheed Nenshi,1.48E+12,10/25/16 4:01
16,Sexy @JohnTory of course.https://twitter.com/erin_despas/status/790752584332107777 …,Naheed Nenshi,1.48E+12,10/25/16 3:18
17,"Now ""Sexy @JimWatsonOttawa"" would be a very appropriate costume. Of course, that would just be Jim every day.https://twitter.com/jslamsville/status/790751004560093184 …",Naheed Nenshi,1.48E+12,10/25/16 3:07
18,Nope.https://twitter.com/jcmorrison74/status/790750318808096768 …,Naheed Nenshi,1.48E+12,10/25/16 3:03
19,"Every. Single. Year. Public Service Announcement: folks, Sexy Mayor is not an appropriate costume choice. (Results may vary in other cities)https://twitter.com/szabo_strategy/status/790566091764428800 …",Naheed Nenshi,1.48E+12,10/25/16 3:01
20,I ... I ... I can't even.https://twitter.com/crackmacs/status/790456868367839232 …,Naheed Nenshi,1.48E+12,10/25/16 2:52
21,@nenshi Please rt. Left my camera black bag on north bus route 20. Need help locating it and the contents. Need it for school. Thanks.,Bill,1.48E+12,10/25/16 1:47
22,Calgary! @lisabowes will be at @IndigoSignalHil Nov 26th from 12-2pm signing books from her series @LucyTriesSports! #yyc @nenshipic.twitter.com/ZgiBWcCujC,orcabook,1.48E+12,10/24/16 21:48
23,"Have you seen our video showcasing #yycca's and featuring @nenshi, as part of our 55th anniversary? Check it out!https://www.youtube.com/watch?v=UrOdlyvND2Y …",Fed of YYC Comm,1.48E+12,10/24/16 20:45
24,Darn them. :-)https://twitter.com/kathleen_ralph/status/789821541294874626 …,Naheed Nenshi,1.48E+12,10/24/16 8:26
25,Someone stole this bike from a garage on Glengrove Close SW. It was used by a person with a disability. Help us find it. #yyc @nenshipic.twitter.com/BJJH4zqlCB,Jon Bateman,1.48E+12,10/23/16 23:51
26,"My cat went missing in Hawkwood, last night! Keep a look out for him and contact @cityofcalgary if he is found #yyc @nenshi @PetRecoveryYYCpic.twitter.com/NqqZZIKuo8",Jillian Kalinowski,1.48E+12,10/23/16 21:37
27,Want some concrete blocks??? FREE stacked up against our Hall - 2828 28th St SW. Please RTpic.twitter.com/irJHU9CeM8,Killarney Glengarry,1.48E+12,10/23/16 20:18
28,"So glad to see that @FieldOfCrosses is back up along Memorial Drive, getting ready for #RemembranceDay. Wonderful tribute! @nenshi #yyc",El Gato,1.48E+12,10/23/16 3:16
29,True. True.https://twitter.com/ronniepuppet/status/789672679586557953 …,Naheed Nenshi,1.48E+12,10/22/16 13:12
30,"I think I read about him somewhere:  ""Nenshi of the Lesser Kardashians""... Last seen on the Turkish-Armenian Border, wearing a purple tie..https://twitter.com/nenshi/status/789613939046744064 …",Marie Belanger,1.48E+12,10/22/16 2:36
31,@nenshi @Frazzling @joshyyc @FailinDemocracy @GlobalCalgary @globalnews the conference calls aren't telepathic?,Gimp Cyborg,1.48E+12,10/22/16 0:58
32,"""To all the others, pay no heed. 
/Do the right thing and vote...""https://twitter.com/zaheedonism/status/789622198067539968 …",Naheed Nenshi,1.48E+12,10/22/16 0:36
33,@joshyyc @nenshi @FailinDemocracy @GlobalCalgary @globalnews Bildeberg or Build-a-bear?,Christie Teterenko,1.48E+12,10/22/16 0:34
34,"I always forget about them. With the time zone difference, I'm forever missing the mind control conference calls.https://twitter.com/joshyyc/status/789616305347244033 …",Naheed Nenshi,1.48E+12,10/21/16 23:57
35,"Fascinating. I wonder just who is pulling my strings? My best guess is a Kardashian, but I don't know which one. A lesser one, I think.https://twitter.com/failindemocracy/status/789466259402334208 …",Naheed Nenshi,1.48E+12,10/21/16 23:46
36,@nenshi There is an exciting new youth work placement program with the UN Association in Canada @UNACGreenCorps #GoGreen #YouthEmployment,Ashley Tedham,1.48E+12,10/21/16 21:56
37,Found in the 17th Ave SW AMA parking lot. Please RT & help me reunite it with its owner! (Cc: @nenshi @newstalk770)pic.twitter.com/E2xSOAGiRe,Candice King,1.48E+12,10/21/16 17:59
38,"@nenshi  Trying to gather as much food as possible for the CFL Food Drive this Friday game , and set a record https://www.purolator.com/en/resources-and-support/about-us/tackle-hunger/cfl.page … RT pls",Peter Cederlof,1.48E+12,10/20/16 4:19
39,@nenshi @Crackmacspic.twitter.com/uDG07btPpj,Hann-oween,1.48E+12,10/20/16 2:41
40,"Sophie (10y/o yellow lab, 70lbs) missing from Applewood area around 8PM. Wearing collar w/ reg tags and @Canucks bandana. @nenshi @crackmacs",Hann-oween,1.48E+12,10/20/16 2:41
41,.@nenshi our enemy is not hate. our enemy is indifference. #ygl16,Jerry Michalski,1.48E+12,10/20/16 2:07
42,"This is very cool, especially if you happen to be in a presentation and keeping an eye on the debate.https://twitter.com/alisonloat/status/788914587336794112 …",Naheed Nenshi,1.48E+12,10/20/16 1:30
