name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
Chuck Strangers,Beat Salad,0.761,0.0815,8,-24.601,0,0.0977,0.911,0.414,143.348,4,50TLJhLJKlMnLzm7u88nEW,Backwood Falls - Instrumental,10,Consumers Park (Instrumentals),2018-11-30,G#,minor,G# minor,66979
Chuck Strangers,Beat Salad,0.586,0.635,10,-15.066,0,0.0439,0.871,0.319,79.019,4,50TLJhLJKlMnLzm7u88nEW,Style Wars - Instrumental,5,Consumers Park (Instrumentals),2018-11-30,A#,minor,A# minor,237942
Chuck Strangers,Beat Salad,0.517,0.39,6,-11.501,1,0.0668,0.246,0.329,169.857,5,50TLJhLJKlMnLzm7u88nEW,1010 Wins Pt. 1 & 2 - Instrumental,9,Consumers Park (Instrumentals),2018-11-30,F#,major,F# major,221087
Chuck Strangers,Beat Salad,0.401,0.684,8,-9.212,0,0.0415,0.855,0.118,155.761,4,50TLJhLJKlMnLzm7u88nEW,The Evening - Instrumental,4,Consumers Park (Instrumentals),2018-11-30,G#,minor,G# minor,264977
Chuck Strangers,Beat Salad,0.575,0.606,10,-9.232,0,0.029,0.846,0.222,130.204,4,50TLJhLJKlMnLzm7u88nEW,Syl’s Song - Instrumental,4,Consumers Park (Instrumentals),2018-11-30,A#,minor,A# minor,273582
Chuck Strangers,Beat Salad,0.684,0.354,1,-16.617,1,0.0631,0.951,0.077,79.977,4,50TLJhLJKlMnLzm7u88nEW,Class Pictures - Instrumental,3,Consumers Park (Instrumentals),2018-11-30,C#,major,C# major,178354
Chuck Strangers,Beat Salad,0.604,0.574,8,-11.463,1,0.108,0.732,0.461,140.019,4,50TLJhLJKlMnLzm7u88nEW,Riis Beach - Instrumental,4,Consumers Park (Instrumentals),2018-11-30,G#,major,G# major,183153
Chuck Strangers,Beat Salad,0.593,0.388,7,-13.66,1,0.0437,0.13,0.225,81.363,4,50TLJhLJKlMnLzm7u88nEW,Peaceful - Instrumental,4,Consumers Park (Instrumentals),2018-11-30,G,major,G major,191079
Chuck Strangers,Beat Salad,0.337,0.345,8,-19.5,1,0.063,0.864,0.18,71.361,4,50TLJhLJKlMnLzm7u88nEW,A Pause For Peace - Instrumental,3,Consumers Park (Instrumentals),2018-11-30,G#,major,G# major,107490
Chuck Strangers,Beat Salad,0.431,0.476,8,-10.915,1,0.0532,0.945,0.693,77.027,4,50TLJhLJKlMnLzm7u88nEW,Two Pit Bulls - Instrumental,3,Consumers Park (Instrumentals),2018-11-30,G#,major,G# major,100473
Chuck Strangers,Beat Salad,0.438,0.519,4,-12.158,0,0.0544,0.146,0.325,183.927,4,50TLJhLJKlMnLzm7u88nEW,No Dice - Instrumental,4,Consumers Park (Instrumentals),2018-11-30,E,minor,E minor,199223
Chuck Strangers,Beat Salad,0.316,0.469,7,-12.333,1,0.0445,0.528,0.663,165.335,4,50TLJhLJKlMnLzm7u88nEW,Fresh - Instrumental,3,Consumers Park (Instrumentals),2018-11-30,G,major,G major,159419
Freddie Gibbs,Beat Salad,0.608,0.926,9,-6.024,1,0.235,0.611,0.633,180.43,4,1GYG80diXFWYwH7FJB7KeC,Scarface,24,Piñata Beats,2014-06-03,A,major,A major,104053
Freddie Gibbs,Beat Salad,0.576,0.753,5,-10.148,0,0.0868,0.0639,0.851,119.213,4,1GYG80diXFWYwH7FJB7KeC,High,29,Piñata Beats,2014-06-03,F,minor,F minor,165253
Freddie Gibbs,Beat Salad,0.539,0.72,7,-9.754,1,0.174,0,0.688,173.522,4,1GYG80diXFWYwH7FJB7KeC,Harold's,29,Piñata Beats,2014-06-03,G,major,G major,169506
Freddie Gibbs,Beat Salad,0.417,0.569,7,-9.659,0,0.0469,0.00415,0.297,90.625,4,1GYG80diXFWYwH7FJB7KeC,Bomb,23,Piñata Beats,2014-06-03,G,minor,G minor,199426
Freddie Gibbs,Beat Salad,0.635,0.524,6,-10.094,1,0.39,0.0292,0.799,91.573,4,1GYG80diXFWYwH7FJB7KeC,Shitsville,24,Piñata Beats,2014-06-03,F#,major,F# major,171480
Freddie Gibbs,Beat Salad,0.181,0.571,2,-10.97,1,0.0806,0.473,0.152,181.016,4,1GYG80diXFWYwH7FJB7KeC,Thuggin',27,Piñata Beats,2014-06-03,D,major,D major,203773
Freddie Gibbs,Beat Salad,0.322,0.564,0,-9.66,1,0.274,0.0168,0.246,177.089,4,1GYG80diXFWYwH7FJB7KeC,Real,23,Piñata Beats,2014-06-03,C,major,C major,195146
Freddie Gibbs,Beat Salad,0.477,0.689,3,-10.996,1,0.154,0.785,0.588,78.297,4,1GYG80diXFWYwH7FJB7KeC,Robes,27,Piñata Beats,2014-06-03,D#,major,D# major,206840
Freddie Gibbs,Beat Salad,0.614,0.484,11,-12.792,0,0.0269,0.968,0.897,170.394,4,1GYG80diXFWYwH7FJB7KeC,Broken,23,Piñata Beats,2014-06-03,B,minor,B minor,249613
Freddie Gibbs,Beat Salad,0.712,0.492,6,-12.576,0,0.0714,0.767,0.507,89.568,4,1GYG80diXFWYwH7FJB7KeC,Knicks,24,Piñata Beats,2014-06-03,F#,minor,F# minor,219960
Freddie Gibbs,Beat Salad,0.423,0.631,11,-10.046,0,0.0508,0.243,0.392,162.466,4,1GYG80diXFWYwH7FJB7KeC,Shame,25,Piñata Beats,2014-06-03,B,minor,B minor,185306
