name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
People Under The Stairs,Beat Salad To Date,0.826,0.724,10,-9.431,0,0.135,0.00391,0.911,94.625,4,7nEYPurSbqSaiEf2ovL51R,Blowin Wax,23,Question in the Form of an Answer,2000-06-02,A#,minor,A# minor,275160
St Germain,Beat Salad To Date,0.809,0.575,11,-8.773,1,0.0574,0.709,0.569,90.966,4,0YqCvOMhp8enM01an9Nntj,La goutte d'or,40,Tourist [Remastered] (Remastered Version),2000,B,major,B major,379266
Pete Rock,Beat Salad To Date,0.808,0.491,8,-9.755,0,0.168,0.654,0.91,91.008,4,3BXHZmPR0u5TBVlxcp4Tjk,Get Involved,29,Petestrumentals,2001,G#,minor,G# minor,305440
Atamone,Beat Salad To Date,0.562,0.923,8,-7.175,1,0.234,1.17e-5,0.182,92.123,1,44Qa7f6WCaEekIpsWPo47d,Mellowmindnuss,15,Nitespliffs,2017-05-30,G#,major,G# major,93913
Karavelo,Beat Salad To Date,0.556,0.307,0,-12.385,0,0.0376,0.733,0.657,90.138,4,5fnAVheauSIIJH0zqVfl6R,Katsudon,11,"The Cookbook, Vol. 1",2019-06-21,C,minor,C minor,95107
Katherine Penfold,Beat Salad To Date,0.699,0.502,7,-7.106,1,0.123,1.96e-5,0.438,92.046,4,23Sf0Ol6sOfLPTuBhfuPpb,You Know the Way I Feel,5,Sweetest Thing,2019-10-04,G,major,G major,236523
Flying Lotus,Beat Salad To Date,0.654,0.667,11,-7.888,0,0.0459,0.754,0.943,88.53,4,5WfDyog8yO7ZF8JdJxeZfl,The Climb,43,Flamagra,2019-05-24,B,minor,B minor,195781
Junius Paul,Beat Salad To Date,0.328,0.165,7,-21.134,1,0.0352,0.966,0.151,91.714,5,5Xzt2fPrDpUPKVUUrH0VdH,View From the Moon,13,Ism,2019-11-22,G,major,G major,100160
Uyama Hiroto,Beat Salad To Date,0.719,0.774,1,-10.377,1,0.0378,0.864,0.622,93.004,4,3lWDRI6LLRZqPbCK7xBeAp,Walk In The Sunset,22,a son of the sun,2008-07-16,C#,major,C# major,315066
David Axelrod,Beat Salad To Date,0.474,0.426,3,-9.805,1,0.0455,0.342,0.326,101.431,4,5wK9u9A4mDMLy8oaZOTI9K,"Warning Talk, Part Three",8,The Edge: David Axelrod At Capitol Records 1966-1970,2005-01-01,D#,major,D# major,278653
Chuck Strangers,Beat Salad To Date,0.604,0.574,8,-11.463,1,0.108,0.732,0.461,140.019,4,50TLJhLJKlMnLzm7u88nEW,Riis Beach - Instrumental,4,Consumers Park (Instrumentals),2018-11-30,G#,major,G# major,183153
Freddie Gibbs,Beat Salad To Date,0.576,0.753,5,-10.148,0,0.0868,0.0639,0.851,119.213,4,1GYG80diXFWYwH7FJB7KeC,High,29,Piñata Beats,2014-06-03,F,minor,F minor,165253
Ras G,Beat Salad To Date,0.464,0.523,7,-15.943,1,0.0862,0.906,0.676,118.493,4,1JaFEuvDzQUPbOg9tnCkMO,The Free Up (Party People),2,Beatz Of Mind,2010-10-26,G,major,G major,222296
Morgan Adams Quartet Plus Two,Beat Salad To Date,0.425,0.944,11,-7.6,1,0.0748,0.831,0.68,117.376,4,6jRvDpOc9oi3sjQuoPK7if,Funky Blue Note,30,Shades Of Blue: Madlib Invades Blue Note,2003-06-24,B,major,B major,187893
Andrés Vial,Beat Salad To Date,0.417,0.416,6,-14.652,0,0.0319,0.806,0.539,114.842,4,7ct2qjnGMJWzPCoBLD6rW2,Montaigne,1,Gang of Three,2019-10-04,F#,minor,F# minor,349353
MF DOOM,Beat Salad To Date,0.887,0.451,10,-9.467,0,0.0526,0.87,0.304,95.222,4,4UG3kz6qoHtNI1glQ2wdon,? - Instrumental,23,Operation: Doomsday (Complete),2011-04-26,A#,minor,A# minor,157946
Kiefer,Beat Salad To Date,0.697,0.504,9,-6.638,0,0.0505,0.0391,0.325,95.086,4,7t0S1JQpSHsZftfzVQWW2a,What a Day,32,Happysad,2018-06-08,A,minor,A minor,157894
Nujabes,Beat Salad To Date,0.866,0.691,5,-4.371,0,0.0478,0.503,0.87,94.997,4,6nVACH6a27eOWiumAJhDWS,Luv(sic.) pt3 (feat. Shing02),55,Modal Soul,2005-11-11,F,minor,F minor,336866
Kawfee,Beat Salad To Date,0.483,0.501,9,-14.243,1,0.262,0.862,0.409,158.629,4,6zjNdf4HugVrF1upAz45ky,Mantranada,2,Big chillin’,2019-07-11,A,major,A major,72790
