name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
A Taste Of Honey,Disco,0.791,0.569,2,-10.372,0,0.0553,3.5e-4,0.889,123.977,4,4QJA3YXQdpLhuIztkSgrpo,Boogie Oogie Oogie - Remastered 2004,46,A Taste Of Honey,1978,D,minor,D minor,338320
A Taste Of Honey,Disco,0.806,0.741,5,-7.351,0,0.0494,5.24e-5,0.881,106.817,4,1mcETo27dXibXub2zWh8LS,Rescue Me - Remastered,17,Twice As Sweet,2006-01-01,F,minor,F minor,203000
A Taste Of Honey,Disco,0.735,0.857,5,-5.533,1,0.0434,3.38e-4,0.883,126.37,4,1mcETo27dXibXub2zWh8LS,Ain't Nothin' But A Party - Remastered,21,Twice As Sweet,2006-01-01,F,major,F major,295266
Ace Spectrum,Disco,0.639,0.695,0,-6.795,1,0.0311,9.96e-4,0.93,118.45,4,4Zpx9jduQUX75uMkzyVlDw,Don't Send Nobody Else,16,Inner Spectrum,1974-06-12,C,major,C major,242991
Ace Spectrum,Disco,0.683,0.685,6,-9.306,0,0.0637,1.09e-6,0.792,118.978,4,4Zpx9jduQUX75uMkzyVlDw,If You Were There,8,Inner Spectrum,1974-06-12,F#,minor,F# minor,243226
Afrique,Disco,0.657,0.763,7,-10.266,1,0.049,2.4e-4,0.84,113.764,4,0a7rPIWi6LSVXV4weYH6DR,Soul Makossa,16,Soul Makossa,1973-05-08,G,major,G major,284571
Afrique,Disco,0.681,0.859,2,-9.693,1,0.0727,0.703,0.85,122.816,4,0a7rPIWi6LSVXV4weYH6DR,Slow Motion,3,Soul Makossa,1973-05-08,D,major,D major,258238
Alma Faye Brooks,Disco,0.716,0.953,1,-5.909,1,0.0921,8.85e-4,0.486,130.269,4,5PUUXwh7xQuuNw98oVA1vW,Don't Fall In Love,6,Doin' It,2013-12-17,C#,major,C# major,456977
Alma Faye Brooks,Disco,0.653,0.89,11,-6.631,0,0.0467,8.26e-5,0.596,129.767,4,5PUUXwh7xQuuNw98oVA1vW,Gimme Your Love,3,Doin' It,2013-12-17,B,minor,B minor,442860
Alma Faye Brooks,Disco,0.628,0.686,5,-5.82,1,0.0448,0,0.917,118.697,4,5PUUXwh7xQuuNw98oVA1vW,Here's to Life,0,Doin' It,2013-12-17,F,major,F major,185768
