name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
Why Don't We,Pop,0.693,0.604,11,-5.279,1,0.0427,0,0.651,75.014,4,4XSRrYHawXjGuQ6qEk3Kk5,Big Plans,27,Big Plans,2019-01-17,B,major,B major,179929
Lauv,Pop,0.806,0.558,9,-6.46,1,0.0683,0,0.678,95.016,4,60sI3iRfHfu7YpcTpZ29W1,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",81,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",2019-08-02,A,major,A major,198973
Ed Sheeran,Pop,0.64,0.648,5,-8.113,0,0.187,0,0.548,92.977,4,3oIFxDIo2fwuk4lwCmFZCx,Beautiful People (feat. Khalid),82,No.6 Collaborations Project,2019-07-12,F,minor,F minor,197866
5 Seconds of Summer,Pop,0.611,0.52,0,-5.445,1,0.0346,0,0.771,159.927,4,2rSrRHcfwJXxni8HczqKAT,Lie To Me (feat. Julia Michaels),76,Lie To Me (feat. Julia Michaels),2018-12-21,C,major,C major,149877
Dan + Shay,Pop,0.654,0.63,10,-4.644,1,0.0259,0,0.43,89.991,4,4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)",90,"10,000 Hours (with Justin Bieber)",2019-10-04,A#,major,A# major,167693
Why Don't We,Pop,0.614,0.647,0,-4.681,0,0.0524,0,0.368,163.862,4,6IEEEv0mmFYPjhATWKYZRE,What Am I,78,What Am I,2019-08-23,C,minor,C minor,184665
Shawn Mendes,Pop,0.692,0.809,2,-4.198,1,0.0602,0,0.864,123.911,4,1J2BrRxtQjVUa7X9Ne99xD,If I Can't Have You,82,If I Can't Have You,2019-05-03,D,major,D major,190800
Andy Grammer,Pop,0.641,0.537,0,-5.452,0,0.0282,9.05e-6,0.0681,112.864,4,0yfSE7Q6NGIbvnEU0sFNRP,"Don't Give Up On Me - (From ""Five Feet Apart"")",17,"Don't Give Up On Me (From ""Five Feet Apart"")",2019-02-13,C,minor,C minor,196187
Maren Morris,Pop,0.612,0.57,11,-6.642,0,0.0347,0,0.335,77.004,4,5QakU0QMcoxjjyCS1YW4G5,The Bones,79,GIRL,2019-03-08,B,minor,B minor,197293
The Chainsmokers,Pop,0.591,0.702,7,-5.59,1,0.0289,0,0.501,104.003,4,1ONuDpN0a3zhCUyKCgtuzK,Call You Mine,34,World War Joy,2019-05-31,G,major,G major,217653
